timestamp,IMU_9e15c6_w,IMU_9e15c6_x,IMU_9e15c6_y,IMU_9e15c6_z,IMU_6dee46_w,IMU_6dee46_x,IMU_6dee46_y,IMU_6dee46_z,IMU_c22f23_w,IMU_c22f23_x,IMU_c22f23_y,IMU_c22f23_z
1779356566.041769,0.9942119121551514,-0.02163047529757023,-0.0009818349499255419,0.10523217171430588,-0.9475072622299194,-0.2439076453447342,-0.042509667575359344,-0.20231693983078003,0.027029726654291153,0.057022422552108765,-0.9000070691108704,-0.43128320574760437
1779356566.0467775,0.9942119121551514,-0.02163047529757023,-0.0009818349499255419,0.10523217171430588,-0.9475072622299194,-0.2439076453447342,-0.042509667575359344,-0.20231693983078003,0.027029726654291153,0.057022422552108765,-0.9000070691108704,-0.43128320574760437
1779356566.051772,0.9942119121551514,-0.02163047529757023,-0.0009818349499255419,0.10523217171430588,-0.9475072622299194,-0.2439076453447342,-0.042509667575359344,-0.20231693983078003,0.027029726654291153,0.057022422552108765,-0.9000070691108704,-0.43128320574760437
1779356566.0567749,0.9942119121551514,-0.02163047529757023,-0.0009818349499255419,0.10523217171430588,-0.9475070238113403,-0.24390998482704163,-0.04251061752438545,-0.20231446623802185,0.027029726654291153,0.057022422552108765,-0.9000070691108704,-0.43128320574760437
1779356566.0617738,0.9942119121551514,-0.02163047529757023,-0.0009818349499255419,0.10523217171430588,-0.9475070238113403,-0.24390998482704163,-0.04251061752438545,-0.20231446623802185,0.027028387412428856,0.05701747536659241,-0.9000056982040405,-0.43128663301467896
1779356566.0667722,0.9942119121551514,-0.02163047529757023,-0.0009818349499255419,0.10523217171430588,-0.9475070238113403,-0.24390998482704163,-0.04251061752438545,-0.20231446623802185,0.027028387412428856,0.05701747536659241,-0.9000056982040405,-0.43128663301467896
1779356566.0717735,0.9942120313644409,-0.02163170650601387,-0.0009845958556979895,0.10523061454296112,-0.9475070238113403,-0.24390998482704163,-0.04251061752438545,-0.20231446623802185,0.027028387412428856,0.05701747536659241,-0.9000056982040405,-0.43128663301467896
1779356566.076771,0.9942120313644409,-0.02163170650601387,-0.0009845958556979895,0.10523061454296112,-0.9475070238113403,-0.24390998482704163,-0.04251061752438545,-0.20231446623802185,0.02702411264181137,0.0570133700966835,-0.9000058174133301,-0.43128737807273865
1779356566.0817723,0.9942120313644409,-0.02163170650601387,-0.0009845958556979895,0.10523061454296112,-0.9475070238113403,-0.24390998482704163,-0.04251061752438545,-0.20231446623802185,0.02702411264181137,0.0570133700966835,-0.9000058174133301,-0.43128737807273865
1779356566.0867758,0.9942121505737305,-0.021630389615893364,-0.0009812465868890285,0.1052304357290268,-0.9475070238113403,-0.24390998482704163,-0.04251061752438545,-0.20231446623802185,0.02702411264181137,0.0570133700966835,-0.9000058174133301,-0.43128737807273865
