time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777993826.1106286,1,0.0197,1,-94.5821,0.0000,0.0000,0.018733,0.0107,146.15,45.78,-153.71
1777993826.1346662,2,0.0197,1,-101.6694,0.0000,0.0000,0.032805,0.0096,148.15,44.09,-156.07
1777993826.1629074,3,0.0195,1,-106.0611,0.0000,0.0000,0.043707,0.0220,152.07,45.41,-158.85
1777993826.1875591,4,0.0192,1,-107.8094,0.0000,0.0000,0.045968,0.0111,156.08,46.61,-161.30
1777993826.2144125,5,0.0190,1,-106.9499,0.0000,0.0000,0.040348,0.0107,158.58,46.15,-163.32
1777993826.4558787,6,0.0190,1,-102.7117,0.0000,0.0000,0.029771,0.0077,158.43,47.08,-163.25
1777993826.7246292,7,0.0191,1,-102.9912,0.0000,0.0000,0.035070,0.0111,155.27,46.12,-160.65
1777993826.9825144,8,0.0192,1,-111.1176,0.0000,0.0000,0.056612,0.0101,156.72,43.20,-162.71
1777993827.2517805,9,0.0197,1,-115.8147,0.0000,0.0000,0.066361,0.0097,161.17,45.46,-165.91
1777993827.5254962,10,0.0212,1,-116.0845,0.0000,0.0000,0.063715,0.0084,163.60,47.92,-166.90
1777993827.8012183,11,0.0276,1,-114.3423,0.0000,0.0000,0.046570,0.0120,164.91,48.56,-168.07
1777993828.0631256,12,0.0471,1,-125.1943,0.0000,0.0000,0.026789,0.0196,162.90,33.89,-170.35
1777993828.3185468,13,0.0737,1,-26.3726,0.0000,0.0000,0.054867,0.0058,22.64,44.25,-15.55
1777993828.593245,14,0.1058,0,-19.1526,0.0546,-0.3911,0.035735,0.0073,22.21,33.06,-12.24
1777993828.8610995,15,0.1376,0,-15.8828,0.0841,-0.7770,0.017442,0.0047,20.86,24.05,-9.21
1777993829.1221642,16,0.1654,0,-12.8117,0.1149,-1.1027,0.020579,0.0061,16.20,17.83,-5.30
1777993829.4052534,17,0.1892,0,-9.8744,0.1470,-1.3258,0.033251,0.0091,11.71,15.51,-2.82
1777993829.6583111,18,0.2103,0,-6.9641,0.1818,-1.4123,0.039690,0.0057,9.50,16.84,-2.38
1777993829.9343176,19,0.2299,0,-4.5407,0.2128,-1.3679,0.019406,0.0048,9.12,19.44,-3.09
1777993830.1884549,20,0.2475,0,-3.4524,0.2258,-1.2675,0.004073,0.0050,11.29,20.54,-3.96
1777993830.4526298,21,0.2617,0,-3.7731,0.2172,-1.2066,0.006852,0.0047,13.93,18.14,-4.10
1777993830.729771,22,0.2698,0,-5.2548,0.1897,-1.2676,0.024561,0.0066,15.60,11.87,-3.33
1777993830.999685,23,0.2716,0,-6.5484,0.1655,-1.4265,0.021487,0.0050,12.19,5.09,-2.13
1777993831.254984,24,0.2689,0,-7.1112,0.1538,-1.6171,0.011381,0.0047,4.59,0.04,-0.68
1777993831.529412,25,0.2640,0,-6.7324,0.1573,-1.7650,0.018724,0.0050,-3.12,-1.45,0.38
1777993831.7901669,26,0.2586,0,-5.0534,0.1809,-1.7808,0.023795,0.0047,-10.63,0.34,0.67
1777993832.065037,27,0.2537,0,-3.1735,0.2068,-1.6630,0.014768,0.0052,-16.15,2.79,1.14
1777993832.3184645,28,0.2502,0,-1.8986,0.2228,-1.4653,0.006168,0.0049,-18.69,4.99,1.86
1777993832.592589,29,0.2479,0,-1.0902,0.2315,-1.2259,0.001451,0.0057,-20.78,6.00,2.31
1777993832.8558662,30,0.2449,0,-1.0338,0.2290,-0.9989,0.001751,0.0043,-21.28,6.13,2.40
1777993833.1185024,31,0.2409,0,-2.2371,0.2083,-0.8671,0.018289,0.0047,-16.42,6.45,2.20
1777993833.393608,32,0.2364,0,-4.1766,0.1778,-0.8701,0.038637,0.0068,-7.34,6.89,1.63
1777993833.6640134,33,0.2314,0,-6.6071,0.1416,-1.0268,0.035326,0.0117,2.60,6.84,0.53
