time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1778056478.2083247,1,0.9996,0,24.1304,24.1202,24.1304,0.629163,0.0395,-8.13
1778056478.2935476,2,0.9994,0,24.1935,12.0985,30.2146,0.519792,0.0703,-13.84
1778056478.5455966,3,0.9994,0,23.5473,7.8529,33.2304,0.635142,0.0289,-12.84
1778056478.806774,4,0.9993,0,23.9637,5.9951,35.4126,0.626737,0.0231,-16.03
1778056479.0750053,5,0.9993,0,24.2246,4.8490,37.0566,0.629249,0.0259,-14.79
1778056479.331282,6,0.9993,0,24.2684,4.0487,38.3011,0.664883,0.0263,-13.50
1778056479.600408,7,0.9992,0,24.3948,3.4888,39.3069,0.688864,0.0337,-11.26
1778056479.8754735,8,0.9991,0,24.0797,3.0138,40.0427,0.629888,0.0261,-10.06
1778056480.140694,9,0.9991,0,24.3226,2.7062,40.7034,0.562956,0.0250,-10.30
1778056480.4017234,10,0.9992,0,24.6051,2.4640,41.3127,0.548264,0.0293,-7.91
1778056480.6809335,11,0.9994,0,24.5168,2.2321,41.8161,0.590899,0.0318,-5.93
1778056480.9470587,12,0.9993,0,24.4551,2.0411,42.2415,0.680515,0.0289,-2.61
1778056481.2143946,13,0.9987,0,24.2363,1.8675,42.4618,0.789393,0.0302,0.96
1778056481.4873753,14,0.9979,0,24.0824,1.7234,42.5202,0.836849,0.0363,2.50
1778056481.74336,15,0.9975,0,24.3566,1.6270,42.5088,0.841088,0.0247,3.35
1778056482.0113242,16,0.9978,0,24.5534,1.5378,42.4323,0.770910,0.0315,1.59
1778056482.2719462,17,0.9984,0,24.9632,1.4716,42.3344,0.645940,0.0266,0.26
1778056482.5428393,18,0.9990,0,24.9402,1.3886,42.1657,0.586611,0.0242,-2.23
1778056482.8032637,19,0.9994,0,24.4149,1.2880,41.8745,0.622510,0.0286,-4.53
1778056483.0668929,20,0.9994,0,23.5709,1.1814,41.4397,0.865773,0.0271,-0.69
1778056483.3442638,21,0.9995,0,22.5836,1.0782,40.8642,1.020973,0.0265,5.95
1778056483.599064,22,0.9998,0,21.7887,0.9931,40.1920,1.111454,0.0245,14.14
1778056483.871826,23,1.0000,0,21.1742,0.9232,39.4603,1.186237,0.0227,24.79
1778056484.1383586,24,1.0000,0,20.9707,0.8763,38.7293,1.192009,0.0255,31.06
1778056484.4026003,25,1.0000,0,20.8958,0.8382,38.0178,1.198703,0.0266,32.02
1778056484.6820347,26,1.0000,0,21.2784,0.8207,37.3811,1.308641,0.0282,34.47
1778056484.9455807,27,1.0000,0,22.0657,0.8194,36.8615,1.449405,0.0309,36.95
1778056485.2044067,28,1.0000,0,23.0416,0.8250,36.4711,1.415010,0.0278,33.93
1778056485.4758039,29,1.0000,0,24.0453,0.8312,36.2021,1.190909,0.0250,27.30
1778056485.757469,30,0.9999,0,24.6558,0.8238,35.9993,0.889715,0.0325,16.49
1778056486.0233731,31,0.9998,0,24.9222,0.8059,35.8191,0.567991,0.0372,0.48
1778056486.27283,32,0.9997,0,25.0186,0.7837,35.6416,0.351873,0.0254,-11.22
1778056486.5430224,33,0.9996,0,25.0317,0.7604,35.4586,0.260822,0.0315,-17.52
1778056486.807518,34,0.9995,0,25.0159,0.7375,35.2687,0.234452,0.0319,-19.77
1778056487.0696287,35,0.9994,0,25.0549,0.7176,35.0795,0.268231,0.0308,-17.14
1778056487.346972,36,0.9991,0,24.9810,0.6956,34.8801,0.342053,0.0276,-13.40
1778056487.6087317,37,0.9987,0,24.7672,0.6711,34.6573,0.476784,0.0312,-6.78
1778056487.8673499,38,0.9987,0,24.4278,0.6445,34.4005,0.743248,0.0286,2.26
1778056488.1372335,39,0.9988,0,23.7005,0.6094,34.0724,1.112322,0.0250,12.30
1778056488.397575,40,0.9981,0,22.7838,0.5713,33.6613,1.543863,0.0226,25.12
1778056488.6606433,41,0.9959,0,22.4567,0.5495,33.2392,1.797171,0.0245,38.53
1778056488.931881,42,0.9919,0,22.0479,0.5269,32.8014,1.950831,0.0230,47.22
1778056489.1957903,43,0.9873,0,22.2310,0.5190,32.4117,1.995565,0.0252,50.66
1778056489.4768207,44,0.9837,0,22.5964,0.5155,32.0838,1.933775,0.0303,51.83
1778056489.749633,45,0.9828,0,22.4998,0.5022,31.7633,1.941007,0.0260,51.38
1778056490.0214648,46,0.9846,0,22.7228,0.4962,31.4801,1.907049,0.0372,52.87
1778056490.2888937,47,0.9873,0,22.9285,0.4901,31.2293,1.904321,0.0300,57.72
1778056490.564492,48,0.9897,0,23.2972,0.4876,31.0252,1.857631,0.0258,60.91
1778056490.8312235,49,0.9912,0,23.4755,0.4813,30.8459,1.746571,0.0276,59.57
1778056491.0923655,50,0.9918,0,23.5090,0.4724,30.6755,1.608462,0.0274,52.11
1778056491.351613,51,0.9929,0,23.3642,0.4604,30.4955,1.446266,0.0291,41.91
1778056491.6211576,52,0.9949,0,23.1455,0.4474,30.2991,1.283273,0.0217,31.60
1778056491.8952909,53,0.9970,0,23.7197,0.4498,30.1673,1.190306,0.0380,22.83
1778056492.1500955,54,0.9985,0,23.7862,0.4427,30.0445,1.043782,0.0278,16.47
1778056492.4238482,55,0.9988,0,24.0122,0.4388,29.9469,0.933575,0.0254,10.64
1778056492.6888535,56,0.9980,0,24.3743,0.4374,29.8865,0.791771,0.0266,4.58
1778056492.952273,57,0.9968,0,24.0454,0.4240,29.7921,0.673015,0.0316,-1.44
1778056493.2273035,58,0.9959,0,24.2890,0.4209,29.7234,0.603732,0.0330,-5.28
1778056493.4902532,59,0.9954,0,24.2488,0.4131,29.6502,0.589117,0.0261,-7.28
1778056493.7615588,60,0.9957,0,23.9542,0.4014,29.5477,0.676246,0.0273,-5.36
1778056494.024843,61,0.9967,0,23.3113,0.3843,29.3844,0.889765,0.0252,0.20
1778056494.2981455,62,0.9979,0,22.7313,0.3688,29.1716,1.077980,0.0247,6.92
1778056494.5614128,63,0.9988,0,22.1449,0.3537,28.9135,1.289742,0.0294,16.27
1778056494.835489,64,0.9986,0,21.7813,0.3425,28.6365,1.512207,0.0290,28.63
1778056495.1044164,65,0.9973,0,21.9702,0.3401,28.3967,1.712559,0.0270,42.18
1778056495.3671155,66,0.9955,0,22.2539,0.3393,28.2004,1.892251,0.0235,55.31
1778056495.6494532,67,0.9937,0,22.4135,0.3366,28.0320,1.998530,0.0290,63.31
1778056495.9072099,68,0.9924,0,22.9274,0.3392,27.9228,1.962750,0.0249,62.16
1778056496.1751158,69,0.9918,0,23.3840,0.3409,27.8620,1.771968,0.0280,50.54
1778056496.4470062,70,0.9917,0,23.7326,0.3410,27.8351,1.473554,0.0216,32.41
1778056496.7130299,71,0.9918,0,24.3203,0.3444,27.8619,1.031787,0.0275,12.63
1778056496.9721658,72,0.9917,0,24.5715,0.3432,27.9060,0.674627,0.0237,-4.54
1778056497.2572572,73,0.9907,0,24.7795,0.3413,27.9621,0.466174,0.0332,-15.56
1778056497.5147743,74,0.9884,0,24.9897,0.3396,28.0300,0.374261,0.0268,-20.96
1778056497.79802,75,0.9853,0,25.0432,0.3358,28.0941,0.371965,0.0259,-22.86
1778056498.0602105,76,0.9825,0,25.0581,0.3317,28.1512,0.414873,0.0262,-23.46
1778056498.3294764,77,0.9803,0,24.9046,0.3255,28.1860,0.457475,0.0308,-23.49
1778056498.5914903,78,0.9792,0,24.7527,0.3195,28.2005,0.477155,0.0234,-23.60
1778056498.868954,79,0.9786,0,24.7527,0.3155,28.2104,0.475901,0.0275,-23.68
1778056499.1299255,80,0.9781,0,24.8078,0.3123,28.2211,0.490410,0.0259,-23.71
1778056499.4178493,81,0.9781,0,24.5613,0.3056,28.2048,0.531927,0.0407,-23.68
1778056499.6740668,82,0.9797,0,23.8803,0.2938,28.1231,0.631099,0.0321,-23.72
1778056499.9498768,83,0.9836,0,23.6221,0.2873,28.0195,0.593473,0.0283,-23.70
1778056500.2106745,84,0.9887,0,23.5754,0.2833,27.9149,0.507374,0.0342,-24.20
1778056500.4807312,85,0.9938,0,23.9865,0.2848,27.8522,0.435048,0.0216,-25.77
1778056500.7491407,86,0.9977,0,24.6913,0.2897,27.8562,0.287772,0.0310,-24.63
1778056501.0285015,87,0.9994,0,25.0694,0.2907,27.8917,0.282935,0.0248,-21.31
1778056501.293836,88,0.9996,0,25.0739,0.2875,27.9215,0.341073,0.0234,-19.03
1778056501.5681875,89,0.9992,0,24.8775,0.2820,27.9277,0.423043,0.0329,-15.47
1778056501.8308835,90,0.9986,0,24.8689,0.2788,27.9299,0.458651,0.0304,-14.16
1778056502.095125,91,0.9981,0,24.7028,0.2739,27.9138,0.476690,0.0337,-14.62
1778056502.3744326,92,0.9977,0,24.6234,0.2701,27.8891,0.502901,0.0258,-13.08
1778056502.6362689,93,0.9976,0,24.6686,0.2677,27.8680,0.532017,0.0239,-11.13
1778056502.9115064,94,0.9976,0,24.6730,0.2649,27.8464,0.590848,0.0354,-8.55
1778056503.1787763,95,0.9980,0,24.6129,0.2615,27.8184,0.695501,0.0296,-4.23
1778056503.438521,96,0.9985,0,24.7403,0.2601,27.8019,0.809025,0.0228,1.28
1778056503.7341206,97,0.9990,0,24.5657,0.2556,27.7679,0.956365,0.0329,6.36
1778056503.9906402,98,0.9994,0,24.3884,0.2512,27.7180,1.071261,0.0276,9.51
1778056504.264373,99,0.9992,0,24.2801,0.2476,27.6599,1.078661,0.0252,8.27
1778056504.5328944,100,0.9985,0,24.1609,0.2439,27.5936,1.015603,0.0296,4.48
1778056504.8064156,101,0.9974,0,24.4059,0.2439,27.5535,0.869588,0.0261,-1.41
1778056505.0751152,102,0.9963,0,24.5904,0.2433,27.5317,0.669604,0.0325,-8.71
1778056505.3489828,103,0.9955,0,25.0054,0.2450,27.5477,0.501256,0.0280,-14.68
1778056505.6114175,104,0.9950,0,25.2005,0.2445,27.5782,0.381747,0.0241,-19.74
1778056505.8751018,105,0.9947,0,25.2836,0.2430,27.6117,0.314065,0.0255,-22.87
1778056506.155267,106,0.9945,0,25.1140,0.2391,27.6249,0.315547,0.0258,-25.24
1778056506.4285955,107,0.9946,0,24.6333,0.2324,27.5912,0.332606,0.0185,-29.28
1778056506.7132616,108,0.9951,0,24.0631,0.2250,27.5063,0.348928,0.0255,-32.86
1778056506.9726648,109,0.9957,0,23.3480,0.2164,27.3612,0.417380,0.0244,-31.49
1778056507.2515664,110,0.9964,0,22.7578,0.2091,27.1723,0.555326,0.0224,-24.05
1778056507.5344806,111,0.9969,0,22.1984,0.2022,26.9463,0.728997,0.0264,-11.28
1778056507.811489,112,0.9971,0,21.7302,0.1963,26.6946,0.888173,0.0309,1.84
1778056508.0787156,113,0.9970,0,21.4747,0.1923,26.4391,1.020617,0.0288,9.75
1778056508.3607934,114,0.9965,0,21.7595,0.1931,26.2292,1.185129,0.0343,15.58
1778056508.6303556,115,0.9958,0,22.5728,0.1985,26.1090,1.307468,0.0257,19.65
1778056508.9045427,116,0.9952,0,23.4290,0.2041,26.0749,1.236894,0.0386,16.33
1778056509.1600544,117,0.9947,0,24.2892,0.2097,26.1199,1.013608,0.0295,11.22
1778056509.4417021,118,0.9947,0,24.8066,0.2123,26.2062,0.728867,0.0307,1.24
1778056509.7029912,119,0.9948,0,24.9381,0.2116,26.2956,0.502360,0.0229,-11.17
1778056509.987253,120,0.9950,0,24.9441,0.2099,26.3766,0.383184,0.0321,-17.60
1778056510.248415,121,0.9953,0,24.9542,0.2082,26.4501,0.314417,0.0278,-22.33
1778056510.5277178,122,0.9956,0,24.8587,0.2058,26.5074,0.287155,0.0298,-24.27
1778056510.8009255,123,0.9961,0,24.8743,0.2042,26.5597,0.328577,0.0311,-23.11
1778056511.0553076,124,0.9970,0,25.0229,0.2038,26.6195,0.332193,0.0298,-21.37
1778056511.3334825,125,0.9981,0,24.9637,0.2017,26.6673,0.337790,0.0290,-20.17
1778056511.6210818,126,0.9990,0,24.9402,0.1999,26.7074,0.346007,0.0331,-18.71
1778056511.8672926,127,0.9997,0,24.9870,0.1987,26.7469,0.294898,0.0191,-19.10
1778056512.1428943,128,0.9998,0,24.8356,0.1960,26.7680,0.260906,0.0286,-19.64
1778056512.4246113,129,0.9995,0,24.8786,0.1948,26.7899,0.222191,0.0325,-20.11
1778056512.6829739,130,0.9992,0,24.9524,0.1938,26.8152,0.183300,0.0275,-21.31
1778056512.9638581,131,0.9990,0,24.8339,0.1915,26.8266,0.169354,0.0327,-22.35
1778056513.2162864,132,0.9989,0,24.8910,0.1904,26.8408,0.165516,0.0239,-23.22
1778056513.5024443,133,0.9988,0,24.9134,0.1892,26.8545,0.164713,0.0317,-23.26
1778056513.7599037,134,0.9989,0,24.9047,0.1877,26.8650,0.168066,0.0266,-23.28
1778056514.0208032,135,0.9989,0,24.8983,0.1863,26.8728,0.170435,0.0231,-23.26
1778056514.3008494,136,0.9989,0,24.9381,0.1852,26.8822,0.169201,0.0266,-23.25
1778056514.560461,137,0.9986,0,25.0108,0.1844,26.8962,0.181347,0.0261,-23.27
1778056514.8283193,138,0.9972,0,24.9978,0.1829,26.9069,0.228896,0.0300,-23.22
1778056515.0986233,139,0.9945,0,24.8569,0.1806,26.9034,0.300141,0.0234,-23.22
1778056515.3803968,140,0.9913,0,25.2808,0.1824,26.9373,0.417880,0.0401,-23.22
1778056515.636006,141,0.9881,0,24.9363,0.1787,26.9372,0.489290,0.0297,-23.30
1778056515.9116604,142,0.9861,0,24.7799,0.1763,26.9225,0.493335,0.0282,-23.42
1778056516.178658,143,0.9857,0,24.9129,0.1760,26.9198,0.461147,0.0320,-23.44
1778056516.432911,144,0.9859,0,24.4941,0.1720,26.8792,0.365667,0.0250,-23.47
1778056516.714978,145,0.9862,0,24.4645,0.1706,26.8382,0.348820,0.0263,-23.34
1778056516.9759517,146,0.9861,0,24.1812,0.1675,26.7745,0.303919,0.0270,-23.11
1778056517.2369902,147,0.9854,0,23.4122,0.1613,26.6476,0.321427,0.0271,-22.97
1778056517.5039895,148,0.9842,0,22.6344,0.1550,26.4622,0.242004,0.0279,-22.81
1778056517.7816625,149,0.9829,0,22.1928,0.1511,26.2526,0.196214,0.0272,-22.67
1778056518.0586722,150,0.9817,0,21.9061,0.1482,26.0346,0.222558,0.0393,-22.63
1778056518.3194056,151,0.9808,0,21.9060,0.1472,25.8338,0.248212,0.0351,-22.53
1778056518.5768569,152,0.9802,0,21.8230,0.1458,25.6414,0.287128,0.0271,-22.50
