time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777887501.976707,1,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-19.82
1777887502.2313566,2,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-19.82
1777887502.476603,3,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-19.82
1777887502.734778,4,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-19.82
1777887502.9772885,5,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-19.82
1777887503.231277,6,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-19.82
1777887503.520926,7,1.0000,0,-11.6917,-1.6702,-3.8679,4.146788,0.0336,-21.00
1777887508.087424,8,0.9995,0,-15.7549,-1.9692,-8.0108,0.462713,0.0470,27.05
1777887508.305963,9,0.9994,0,-16.7549,-1.8616,-11.3808,0.054887,0.0643,19.44
1777887508.5511904,10,0.9994,0,-16.9549,-1.6955,-13.9264,0.021920,0.0340,11.12
1777887508.8057973,11,0.9994,0,-16.9549,-1.5415,-15.7937,0.006247,0.0359,4.65
1777887509.058131,12,0.9993,0,-16.8549,-1.4048,-17.1232,0.005020,0.0360,1.38
1777887509.3467197,13,0.9993,0,-16.7549,-1.2891,-18.0491,0.004226,0.0515,0.56
1777887509.5589523,14,0.9993,0,-16.7549,-1.1971,-18.7003,0.010611,0.0467,2.68
1777887509.7903764,15,0.9993,0,-16.8549,-1.1240,-19.1736,0.022020,0.0317,3.62
1777887510.0731208,16,0.9992,0,-16.8549,-1.0538,-19.4884,0.032366,0.0318,4.99
1777887510.273976,17,0.9992,0,-16.8549,-0.9906,-19.6849,0.045883,0.0314,9.48
1777887510.5990298,18,0.9993,0,-16.8549,-0.9312,-19.7919,0.056507,0.0505,16.68
1777887510.806985,19,0.9993,0,-16.8549,-0.8754,-19.8318,0.053341,0.0321,26.16
1777887511.0517535,20,0.9994,0,-16.8549,-0.8229,-19.8219,0.044684,0.0403,31.35
1777887511.3233736,21,0.9995,0,-16.7549,-0.7675,-19.7489,0.030527,0.0327,27.52
1777887511.563197,22,0.9996,0,-16.6549,-0.7155,-19.6294,0.017033,0.0374,16.32
1777887511.79254,23,0.9996,0,-16.5549,-0.6666,-19.4759,0.016398,0.0361,0.81
1777887512.071186,24,0.9996,0,-16.3549,-0.6146,-19.2716,0.022204,0.0314,-10.27
1777887512.304495,25,0.9996,0,-16.2549,-0.5717,-19.0568,0.033209,0.0331,-11.33
1777887512.548671,26,0.9995,0,-16.1549,-0.5314,-18.8356,0.046316,0.0313,-3.83
1777887512.7676349,27,0.9995,0,-16.2549,-0.5055,-18.6647,0.057462,0.0347,12.95
1777887513.071878,28,0.9995,0,-16.4549,-0.4872,-18.5607,0.060339,0.0455,32.87
1777887513.2742152,29,0.9995,0,-16.6549,-0.4700,-18.5100,0.048971,0.0345,47.49
1777887513.5084832,30,0.9995,0,-16.8549,-0.4538,-18.5015,0.030052,0.0310,51.62
1777887513.793121,31,0.9995,0,-16.8549,-0.4266,-18.4737,0.014661,0.0345,44.87
1777887514.0474415,32,0.9995,0,-16.8549,-0.4010,-18.4320,0.006437,0.0356,30.36
1777887514.317513,33,0.9995,0,-16.7549,-0.3709,-18.3540,0.003839,0.0507,14.24
1777887514.5668457,34,0.9995,0,-16.6549,-0.3427,-18.2492,0.004414,0.0383,-0.39
1777887514.8165967,35,0.9994,0,-16.5549,-0.3161,-18.1247,0.008067,0.0377,-13.19
1777887515.0715423,36,0.9994,0,-16.3549,-0.2852,-17.9595,0.009732,0.0365,-22.22
1777887515.3077812,37,0.9993,0,-16.2549,-0.2621,-17.7906,0.016006,0.0332,-28.69
1777887515.5861495,38,0.9993,0,-16.1549,-0.2404,-17.6198,0.024588,0.0427,-30.42
1777887515.7707152,39,0.9993,0,-16.1549,-0.2259,-17.4753,0.036035,0.0315,-26.30
1777887516.0184336,40,0.9993,0,-16.1549,-0.2124,-17.3518,0.049529,0.0336,-18.41
1777887516.2619262,41,0.9993,0,-16.2549,-0.2057,-17.2720,0.059986,0.0340,-8.45
1777887516.544429,42,0.9993,0,-16.2549,-0.1933,-17.2001,0.065766,0.0311,0.07
1777887516.8023672,43,0.9993,0,-16.3549,-0.1877,-17.1614,0.067707,0.0316,5.51
1777887517.0781662,44,0.9994,0,-16.3549,-0.1765,-17.1225,0.065894,0.0329,7.91
1777887517.313106,45,0.9994,0,-16.3549,-0.1659,-17.0838,0.064589,0.0346,8.28
1777887517.557324,46,0.9994,0,-16.3549,-0.1559,-17.0458,0.064243,0.0318,8.20
1777887517.8152022,47,0.9994,0,-16.3549,-0.1466,-17.0089,0.064401,0.0323,8.15
1777887518.014983,48,0.9994,0,-16.3549,-0.1378,-16.9731,0.064765,0.0349,8.12
1777887518.26416,49,0.9994,0,-16.3549,-0.1295,-16.9388,0.065228,0.0326,8.12
1777887518.5473692,50,0.9994,0,-16.3549,-0.1218,-16.9059,0.065681,0.0451,8.12
1777887518.7949784,51,0.9994,0,-16.3549,-0.1145,-16.8745,0.066289,0.0364,8.13
1777887519.0327592,52,0.9993,0,-16.3549,-0.1076,-16.8447,0.067078,0.0338,8.15
1777887519.306485,53,0.9993,0,-16.3549,-0.1011,-16.8163,0.067826,0.0729,8.19
