time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779980193.083013,1,0.1361,0,71.4033,0.0000,71.4033,0.000002,0.1619,-133.47,23.41,231.46,1.000000,1.000000,0,0
1779980193.3614647,2,0.1361,0,71.3921,-0.0008,71.4018,0.000002,0.1588,-133.47,23.41,231.46,0.500000,0.500000,0,0
1779980193.6823428,3,0.1361,0,-138.0736,0.0000,-138.0736,0.000003,0.2054,31.39,6.33,-1.78,0.333333,0.333333,1,0
1779980193.9733326,4,0.1361,0,-138.0599,0.0005,-138.0726,0.000003,0.2162,31.39,6.33,-1.78,0.250000,0.250000,0,0
1779980194.2150674,5,0.1361,0,-138.0461,0.0008,-138.0711,0.000002,0.1865,31.39,6.33,-1.78,0.200000,0.200000,0,0
1779980194.4357665,6,0.1361,0,-138.0341,0.0011,-138.0692,0.000001,0.1351,31.38,6.33,-1.78,0.166667,0.166667,0,0
1779980194.7560327,7,0.1360,0,-137.9692,0.0023,-138.0650,0.000119,0.1808,31.11,6.57,-1.83,0.142857,0.142857,0,0
1779980195.0013757,8,0.1358,0,-137.5557,0.0093,-138.0472,0.003507,0.1617,29.43,8.20,-2.04,0.125000,0.125000,0,0
1779980195.2799654,9,0.1356,0,-137.1277,0.0156,-138.0180,0.006896,0.1661,27.68,12.26,-2.69,0.111111,0.111111,0,0
1779980195.5329947,10,0.1355,0,-136.8858,0.0187,-137.9842,0.007133,0.1575,26.74,18.18,-4.05,0.100000,0.100000,0,0
1779980195.915114,11,0.1354,0,-136.7090,0.0206,-137.9481,0.006777,0.2735,26.55,24.65,-5.93,0.090909,0.090909,0,0
1779980196.3696802,12,0.1352,0,-136.0870,0.0274,-137.9001,0.005441,0.1946,25.79,31.79,-7.90,0.083333,0.083333,0,0
1779980196.6867485,13,0.1349,0,-135.4780,0.0334,-137.8419,0.004281,0.2331,23.22,31.71,-7.81,0.076923,0.076923,0,0
1779980196.8649383,14,0.1347,0,-135.5658,0.0323,-137.7880,0.005475,0.1557,20.70,29.13,-7.39,0.071429,0.071429,0,0
