time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777992765.9561372,1,0.0197,1,-94.5821,0.0000,0.0000,0.018733,0.0143,146.15,45.78,-153.71
1777992765.9847727,2,0.0195,1,-106.0611,0.0000,0.0000,0.043707,0.0155,152.07,45.41,-158.85
1777992766.058698,3,0.0190,1,-106.9499,0.0000,0.0000,0.040348,0.0087,158.58,46.15,-163.32
1777992766.3368332,4,0.0190,1,-102.7117,0.0000,0.0000,0.029771,0.0157,158.43,47.08,-163.25
1777992766.6033726,5,0.0191,1,-102.9912,0.0000,0.0000,0.035070,0.0071,155.27,46.12,-160.65
1777992766.8689353,6,0.0192,1,-111.1176,0.0000,0.0000,0.056612,0.0191,156.72,43.20,-162.71
1777992767.1491096,7,0.0197,1,-115.8147,0.0000,0.0000,0.066361,0.0215,161.17,45.46,-165.91
1777992767.377725,8,0.0212,1,-116.0845,0.0000,0.0000,0.063715,0.0069,163.60,47.92,-166.90
1777992767.6893806,9,0.0276,1,-114.3423,0.0000,0.0000,0.046570,0.0328,164.91,48.56,-168.07
1777992767.948839,10,0.0471,1,-125.1943,0.0000,0.0000,0.026789,0.0379,162.90,33.89,-170.35
1777992768.1934664,11,0.0737,1,-26.3726,0.0000,0.0000,0.054867,0.0159,22.64,44.25,-15.55
1777992768.468301,12,0.1058,0,-19.1526,0.0637,-0.3822,0.035735,0.0152,22.21,33.06,-12.24
1777992768.728351,13,0.1376,0,-15.8828,0.0976,-0.7553,0.017442,0.0105,20.86,24.05,-9.21
1777992768.9823432,14,0.1654,0,-12.8117,0.1327,-1.0646,0.020579,0.0101,16.20,17.83,-5.30
1777992769.252169,15,0.1892,0,-9.8744,0.1681,-1.2690,0.033251,0.0119,11.71,15.51,-2.82
1777992769.5210497,16,0.2103,0,-6.9641,0.2041,-1.3369,0.039690,0.0056,9.50,16.84,-2.38
1777992769.7804244,17,0.2299,0,-4.5407,0.2347,-1.2755,0.019406,0.0135,9.12,19.44,-3.09
1777992770.0697007,18,0.2475,0,-3.4524,0.2474,-1.1596,0.004073,0.0112,11.29,20.54,-3.96
1777992770.3094227,19,0.2617,0,-3.7731,0.2385,-1.0848,0.006852,0.0048,13.93,18.14,-4.10
1777992770.58292,20,0.2698,0,-5.2548,0.2107,-1.1333,0.024561,0.0119,15.60,11.87,-3.33
1777992770.8594182,21,0.2716,0,-6.5484,0.1861,-1.2808,0.021487,0.0135,12.19,5.09,-2.13
1777992771.1141753,22,0.2689,0,-7.1112,0.1740,-1.4608,0.011381,0.0047,4.59,0.04,-0.68
1777992771.381293,23,0.2640,0,-6.7324,0.1773,-1.5990,0.018724,0.0103,-3.12,-1.45,0.38
1777992771.6416173,24,0.2586,0,-5.0534,0.2006,-1.6056,0.023795,0.0049,-10.63,0.34,0.67
1777992771.918546,25,0.2537,0,-3.1735,0.2262,-1.4793,0.014768,0.0049,-16.15,2.79,1.14
1777992772.190975,26,0.2502,0,-1.8986,0.2419,-1.2737,0.006168,0.0135,-18.69,4.99,1.86
1777992772.4517112,27,0.2479,0,-1.0902,0.2503,-1.0270,0.001451,0.0089,-20.78,6.00,2.31
1777992772.717621,28,0.2449,0,-1.0338,0.2475,-0.7931,0.001751,0.0101,-21.28,6.13,2.40
1777992772.9728122,29,0.2409,0,-2.2371,0.2265,-0.6549,0.018289,0.0067,-16.42,6.45,2.20
1777992773.2505944,30,0.2364,0,-4.1766,0.1958,-0.6518,0.038637,0.0112,-7.34,6.89,1.63
1777992773.5057583,31,0.2314,0,-6.6071,0.1593,-0.8028,0.035326,0.0045,2.60,6.84,0.53
1777992773.7988787,32,0.2279,0,-9.1765,0.1220,-1.1054,0.015663,0.0102,12.52,5.78,-0.68
1777992774.0452702,33,0.2270,0,-10.7952,0.0983,-1.4944,0.006683,0.0063,20.16,4.01,-1.06
1777992774.3240154,34,0.2277,0,-11.7067,0.0845,-1.9241,0.003312,0.0074,23.71,1.88,-0.52
1777992774.5793586,35,0.2289,0,-12.3473,0.0745,-2.3765,0.000490,0.0060,26.42,-0.00,0.12
1777992774.8504648,36,0.2301,0,-12.6506,0.0693,-2.8290,0.000237,0.0055,28.16,-1.13,0.61
1777992775.1148357,37,0.2295,0,-13.1059,0.0621,-3.2874,0.001884,0.0063,27.91,-2.00,1.04
1777992775.3878717,38,0.2261,0,-14.0368,0.0486,-3.7742,0.007111,0.0075,25.46,-3.17,1.29
1777992775.6603742,39,0.2212,0,-15.2498,0.0318,-4.3006,0.010111,0.0123,19.54,-5.08,1.07
1777992775.9135861,40,0.2188,0,-16.0200,0.0213,-4.8427,0.006764,0.0062,12.20,-7.03,0.80
1777992776.2088144,41,0.2219,0,-14.4670,0.0417,-5.2713,0.039353,0.0135,5.04,-7.32,0.81
1777992776.4632998,42,0.2300,0,-10.8552,0.0910,-5.4666,0.096006,0.0118,0.72,-4.03,0.29
1777992776.7214851,43,0.2390,0,-7.0937,0.1436,-5.4157,0.095406,0.0057,1.96,4.90,-1.43
1777992776.9854555,44,0.2437,0,-3.9367,0.1877,-5.1590,0.044385,0.0053,8.76,17.96,-6.23
1777992777.2407782,45,0.2436,0,-1.4669,0.2211,-4.7525,0.014180,0.0091,18.52,30.97,-13.56
1777992777.5160365,46,0.2403,0,0.3264,0.2438,-4.2539,0.004858,0.0128,28.12,41.25,-21.47
1777992777.7740586,47,0.2363,0,1.5096,0.2571,-3.7115,0.001432,0.0053,35.18,47.50,-27.89
1777992778.0496187,48,0.2338,0,1.7892,0.2574,-3.1852,0.000844,0.0117,37.07,49.08,-29.78
1777992778.314822,49,0.2310,0,0.4708,0.2356,-2.7765,0.004949,0.0058,36.07,46.70,-28.18
1777992778.5873084,50,0.2275,0,-0.7051,0.2163,-2.4676,0.005241,0.0046,35.17,42.32,-25.46
1777992778.8441424,51,0.2245,0,-1.4656,0.2031,-2.2252,0.003102,0.0045,34.02,38.21,-22.61
1777992779.1108315,52,0.2216,0,-2.0254,0.1930,-2.0319,0.000483,0.0134,32.07,36.12,-20.27
1777992779.3671122,53,0.2188,0,-1.9886,0.1909,-1.8480,0.000354,0.0041,27.23,36.12,-17.07
1777992779.6439638,54,0.2158,0,-2.1313,0.1866,-1.6837,0.000502,0.0103,18.37,34.88,-11.71
1777992779.9137664,55,0.2131,0,-2.8742,0.1747,-1.5727,0.003872,0.0046,7.85,30.54,-5.72
1777992780.1856725,56,0.2111,0,-4.9496,0.1462,-1.5896,0.023312,0.0125,-0.70,22.29,-1.53
1777992780.447252,57,0.2113,0,-7.7142,0.1093,-1.7691,0.041497,0.0162,-5.85,11.55,-0.01
1777992780.7159894,58,0.2138,0,-10.8442,0.0677,-2.1300,0.049250,0.0153,-8.77,0.92,-0.38
1777992780.9808953,59,0.2169,0,-14.3755,0.0209,-2.6927,0.040122,0.0139,-10.21,-8.14,-1.72
1777992781.2580876,60,0.2196,0,-17.4042,-0.0193,-3.4196,0.029924,0.0163,-11.37,-13.95,-2.87
1777992781.526328,61,0.2213,0,-19.6811,-0.0493,-4.2556,0.013900,0.0141,-12.10,-17.37,-3.69
1777992781.7969759,62,0.2220,0,-20.2789,-0.0566,-5.0895,0.007186,0.0090,-13.14,-18.70,-4.23
1777992782.0480318,63,0.2218,0,-18.3924,-0.0307,-5.7657,0.035782,0.0053,-14.37,-17.84,-4.23
1777992782.3216484,64,0.2209,0,-14.6065,0.0199,-6.1751,0.076302,0.0090,-15.18,-14.25,-3.46
1777992782.596078,65,0.2188,0,-10.2746,0.0765,-6.2990,0.079469,0.0149,-15.65,-7.53,-2.10
1777992782.8633542,66,0.2149,0,-6.7126,0.1214,-6.2028,0.046080,0.0135,-13.47,2.06,-0.59
1777992783.120044,67,0.2095,0,-4.1786,0.1518,-5.9650,0.015254,0.0045,-7.25,12.99,-0.67
1777992783.3855038,68,0.2033,0,-2.6122,0.1690,-5.6541,0.002155,0.0047,3.40,22.84,-4.49
1777992783.664001,69,0.1977,0,-1.9342,0.1751,-5.3253,0.000239,0.0057,16.52,30.32,-11.14
1777992783.9365401,70,0.1929,0,-1.5407,0.1776,-4.9951,0.000390,0.0055,28.18,35.90,-18.82
1777992784.1968231,71,0.1885,0,-1.1299,0.1802,-4.6625,0.000508,0.0056,36.56,39.23,-25.46
1777992784.4561,72,0.1847,0,-0.2488,0.1880,-4.3033,0.001909,0.0053,38.73,41.57,-27.97
1777992784.7354572,73,0.1806,0,1.0390,0.1999,-3.8997,0.003420,0.0069,36.51,43.89,-27.09
1777992785.0012276,74,0.1752,0,1.3466,0.2011,-3.5049,0.003394,0.0139,35.48,45.65,-26.96
1777992785.2734237,75,0.1702,0,0.2712,0.1880,-3.1829,0.011072,0.0108,37.34,47.09,-29.22
1777992785.5534751,76,0.1683,0,-2.5892,0.1572,-3.0096,0.020832,0.0107,43.14,49.04,-35.42
1777992785.821114,77,0.1733,0,-5.8086,0.1221,-2.9984,0.010043,0.0151,53.45,50.99,-46.64
1777992786.0808117,78,0.1848,0,-7.6645,0.1002,-3.0914,0.008719,0.0070,66.20,52.33,-61.33
1777992786.3676872,79,0.1955,0,-9.9274,0.0725,-3.3151,0.011733,0.0240,82.10,53.33,-80.79
1777992786.6281886,80,0.2026,0,-5.2971,0.1279,-3.2810,0.011309,0.0208,90.44,54.15,-90.90
1777992786.8895903,81,0.2046,0,6.9794,0.2770,-2.5561,0.005666,0.0087,86.91,57.10,-86.45
1777992787.167452,82,0.2021,0,13.8120,0.3566,-1.4899,0.004152,0.0141,85.53,59.16,-84.70
1777992787.4395595,83,0.2003,0,8.1704,0.2844,-0.7935,0.006863,0.0080,97.20,58.06,-98.24
1777992787.7211733,84,0.2012,0,5.7579,0.2519,-0.2637,0.006952,0.0408,94.19,56.97,-94.65
1777992787.9672725,85,0.2034,0,4.0507,0.2280,0.1465,0.007198,0.0220,82.45,54.55,-80.56
1777992788.2231777,86,0.2059,0,0.4121,0.1802,0.3305,0.008296,0.0046,68.25,48.59,-62.90
1777992788.5082622,87,0.2074,0,-3.5872,0.1282,0.2747,0.024736,0.0171,52.02,39.71,-42.42
1777992788.7778156,88,0.2054,0,-6.7945,0.0870,0.0394,0.052295,0.0192,35.92,28.46,-23.74
1777992789.0551987,89,0.2001,0,-9.8333,0.0495,-0.3465,0.059889,0.0154,22.79,17.01,-10.66
1777992789.3058238,90,0.1928,0,-13.2404,0.0095,-0.8826,0.037650,0.0129,12.98,8.32,-4.20
1777992789.569824,91,0.1857,0,-16.6413,-0.0285,-1.5518,0.024357,0.0118,3.83,1.57,-1.74
1777992789.8432925,92,0.1810,0,-19.8637,-0.0632,-2.3393,0.026036,0.0063,-2.47,-4.13,-1.32
1777992790.1085908,93,0.1795,0,-22.6267,-0.0923,-3.2263,0.020387,0.0063,-6.61,-8.86,-1.59
1777992790.385376,94,0.1815,0,-24.8621,-0.1156,-4.1984,0.008215,0.0145,-9.06,-12.35,-1.99
1777992790.6407797,95,0.1840,0,-26.1679,-0.1288,-5.2082,0.000672,0.0054,-8.90,-14.00,-2.17
1777992790.9255698,96,0.1861,0,-26.5394,-0.1315,-6.2051,0.000141,0.0166,-7.93,-14.52,-2.00
1777992791.1803043,97,0.1875,0,-26.2885,-0.1272,-7.1528,0.001019,0.0136,-6.35,-14.05,-1.60
1777992791.4629714,98,0.1873,0,-25.0238,-0.1115,-7.9939,0.009664,0.0124,-3.72,-12.54,-1.05
1777992791.722306,99,0.1865,0,-22.6923,-0.0842,-8.6758,0.026339,0.0067,-0.58,-9.68,-0.62
1777992792.0033,100,0.1844,0,-19.4073,-0.0469,-9.1547,0.039130,0.0121,2.43,-4.63,-0.49
1777992792.270172,101,0.1810,0,-15.6594,-0.0057,-9.4183,0.043032,0.0130,5.35,2.95,-0.95
1777992792.530275,102,0.1767,0,-11.9536,0.0337,-9.4842,0.038909,0.0054,8.33,12.19,-2.64
1777992792.8121338,103,0.1727,0,-8.5417,0.0687,-9.3824,0.024411,0.0061,12.45,21.14,-5.88
1777992793.0843642,104,0.1712,0,-5.7117,0.0971,-9.1511,0.009509,0.0168,17.77,28.17,-9.86
1777992793.3415399,105,0.1717,0,-3.9204,0.1145,-8.8439,0.001539,0.0054,24.20,32.48,-14.29
1777992793.638742,106,0.1736,0,-3.2104,0.1207,-8.5133,0.000229,0.0155,30.34,34.21,-18.46
1777992793.8887875,107,0.1761,0,-2.8885,0.1229,-8.1779,0.000101,0.0106,34.53,34.57,-21.40
1777992794.1810656,108,0.1778,0,-2.7430,0.1231,-7.8476,0.000074,0.0152,36.74,34.59,-22.98
1777992794.451873,109,0.1778,0,-2.4138,0.1253,-7.5153,0.000335,0.0154,33.99,36.02,-21.54
1777992794.7078109,110,0.1758,0,-1.5014,0.1336,-7.1550,0.003210,0.0056,23.62,37.79,-14.84
1777992794.985257,111,0.1731,0,0.3869,0.1518,-6.7226,0.012047,0.0055,7.83,37.51,-4.68
