time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777994153.056692,55,0.2111,0,-4.9496,0.1825,-1.2242,0.023312,0.0090,-0.70,22.29,-1.53
1777994153.321022,56,0.2113,0,-7.7142,0.1714,-1.3615,0.041497,0.0089,-5.85,11.55,-0.01
1777994153.5925272,57,0.2138,0,-10.8442,0.1590,-1.6545,0.049250,0.0128,-8.77,0.92,-0.38
1777994153.8397782,58,0.2169,0,-14.3755,0.1452,-2.1214,0.040122,0.0055,-10.21,-8.14,-1.72
1777994154.1018648,59,0.2196,0,-17.4042,0.1332,-2.7306,0.029924,0.0053,-11.37,-13.95,-2.87
1777994154.3756244,60,0.2213,0,-19.6811,0.1241,-3.4352,0.013900,0.0056,-12.10,-17.37,-3.69
1777994154.6338902,61,0.2220,0,-20.2789,0.1213,-4.1397,0.007186,0.0053,-13.14,-18.70,-4.23
1777994154.9143472,62,0.2218,0,-18.3924,0.1280,-4.7111,0.035782,0.0056,-14.37,-17.84,-4.23
1777994155.193557,63,0.2209,0,-14.6065,0.1419,-5.0554,0.076302,0.0130,-15.18,-14.25,-3.46
1777994155.4487252,64,0.2188,0,-10.2746,0.1577,-5.1557,0.079469,0.0056,-15.65,-7.53,-2.10
1777994155.713712,65,0.2149,0,-6.7126,0.1702,-5.0669,0.046080,0.0117,-13.47,2.06,-0.59
1777994155.9921827,66,0.2095,0,-4.1786,0.1787,-4.8555,0.015254,0.0051,-7.25,12.99,-0.67
1777994156.2576115,67,0.2033,0,-2.6122,0.1836,-4.5801,0.002155,0.0059,3.40,22.84,-4.49
1777994156.513871,68,0.1977,0,-1.9342,0.1853,-4.2882,0.000239,0.0066,16.52,30.32,-11.14
1777994156.7949722,69,0.1929,0,-1.5407,0.1860,-3.9938,0.000390,0.0057,28.18,35.90,-18.82
1777994157.0592175,70,0.1885,0,-1.1299,0.1867,-3.6964,0.000508,0.0054,36.56,39.23,-25.46
1777994157.3297782,71,0.1847,0,-0.2488,0.1889,-3.3755,0.001909,0.0150,38.73,41.57,-27.97
1777994157.5862818,72,0.1806,0,1.0390,0.1923,-3.0159,0.003420,0.0054,36.51,43.89,-27.09
1777994157.8652644,73,0.1752,0,1.3466,0.1927,-2.6631,0.003394,0.0139,35.48,45.65,-26.96
1777994158.1298404,74,0.1702,0,0.2712,0.1889,-2.3717,0.011072,0.0082,37.34,47.09,-29.22
1777994158.3926568,75,0.1683,0,-2.5892,0.1801,-2.2062,0.020832,0.0047,43.14,49.04,-35.42
1777994158.669417,76,0.1733,0,-5.8086,0.1700,-2.1796,0.010043,0.0067,53.45,50.99,-46.64
1777994158.932206,77,0.1848,0,-7.6646,0.1636,-2.2449,0.008719,0.0082,66.20,52.33,-61.33
1777994159.212044,78,0.1955,0,-9.9273,0.1554,-2.4255,0.011733,0.0127,82.10,53.33,-80.79
1777994159.4523864,79,0.2026,0,-5.2970,0.1710,-2.3897,0.011309,0.0088,90.44,54.15,-90.90
1777994159.738556,80,0.2046,0,6.9793,0.2136,-1.7653,0.005666,0.0170,86.91,57.10,-86.45
1777994159.9998546,81,0.2021,0,13.8120,0.2365,-0.8489,0.004152,0.0101,85.53,59.16,-84.70
1777994160.273711,82,0.2003,0,8.1704,0.2163,-0.2459,0.006863,0.0084,97.20,58.06,-98.24
1777994160.5401888,83,0.2012,0,5.7577,0.2072,0.2171,0.006952,0.0133,94.19,56.97,-94.65
1777994160.8033378,84,0.2034,0,4.0507,0.2005,0.5797,0.007198,0.0125,82.45,54.55,-80.56
1777994161.0782874,85,0.2059,0,0.4121,0.1870,0.7506,0.008296,0.0077,68.25,48.59,-62.90
1777994161.354575,86,0.2074,0,-3.5872,0.1720,0.7175,0.024736,0.0150,52.02,39.71,-42.42
1777994161.6290884,87,0.2054,0,-6.7945,0.1601,0.5320,0.052295,0.0204,35.92,28.46,-23.74
1777994161.8880134,88,0.2001,0,-9.8333,0.1491,0.2198,0.059889,0.0099,22.79,17.01,-10.66
1777994162.1615505,89,0.1928,0,-13.2404,0.1373,-0.2179,0.037650,0.0064,12.98,8.32,-4.20
1777994162.417577,90,0.1857,0,-16.6413,0.1260,-0.7659,0.024357,0.0057,3.83,1.57,-1.74
1777994162.703325,91,0.1810,0,-19.8637,0.1156,-1.4128,0.026036,0.0123,-2.47,-4.13,-1.32
1777994162.978538,92,0.1795,0,-22.6267,0.1068,-2.1452,0.020387,0.0298,-6.61,-8.86,-1.59
1777994163.2356496,93,0.1815,0,-24.8621,0.0995,-2.9538,0.008215,0.0079,-9.06,-12.35,-1.99
1777994163.497533,94,0.1840,0,-26.1679,0.0950,-3.7991,0.000672,0.0123,-8.90,-14.00,-2.17
1777994163.768615,95,0.1861,0,-26.5394,0.0935,-4.6376,0.000141,0.0053,-7.93,-14.52,-2.00
1777994164.033666,96,0.1875,0,-26.2885,0.0940,-5.4377,0.001019,0.0055,-6.35,-14.05,-1.60
1777994164.3083434,97,0.1873,0,-25.0238,0.0978,-6.1485,0.009664,0.0059,-3.72,-12.54,-1.05
