time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1778055754.8462822,1,0.0197,1,-94.5821,0.0000,0.0000,0.018733,0.0294,146.15,45.78,-153.71
1778055754.8820364,2,0.0197,1,-101.6694,0.0000,0.0000,0.032805,0.0199,148.15,44.09,-156.07
1778055754.9311974,3,0.0192,1,-107.8094,0.0000,0.0000,0.045968,0.0183,156.08,46.61,-161.30
1778055754.970775,4,0.0190,1,-106.9499,0.0000,0.0000,0.040348,0.0208,158.58,46.15,-163.32
1778055755.0112216,5,0.0190,1,-102.7117,0.0000,0.0000,0.029771,0.0238,158.43,47.08,-163.25
1778055755.0513475,6,0.0191,1,-102.9912,0.0000,0.0000,0.035070,0.0173,155.27,46.12,-160.65
1778055755.1470287,7,0.0192,1,-111.1176,0.0000,0.0000,0.056612,0.0164,156.72,43.20,-162.71
1778055755.4108703,8,0.0197,1,-115.8147,0.0000,0.0000,0.066361,0.0225,161.17,45.46,-165.91
1778055755.6944761,9,0.0212,1,-116.0845,0.0000,0.0000,0.063715,0.0210,163.60,47.92,-166.90
1778055755.9541152,10,0.0276,1,-114.3423,0.0000,0.0000,0.046570,0.0245,164.91,48.56,-168.07
1778055756.216111,11,0.0471,1,-125.1943,0.0000,0.0000,0.026789,0.0277,162.90,33.89,-170.35
1778055756.478982,12,0.0737,1,-26.3726,0.0000,0.0000,0.054867,0.0158,22.64,44.25,-15.55
1778055756.7528808,13,0.1058,0,-19.1526,0.0588,-0.0976,0.035735,0.0181,22.21,33.06,-12.24
1778055757.0157382,14,0.1376,0,-15.8828,0.0903,-0.1633,0.017442,0.0175,20.86,24.05,-9.21
1778055757.2725983,15,0.1654,0,-12.8117,0.1232,-0.1809,0.020579,0.0172,16.20,17.83,-5.30
1778055757.5554464,16,0.1892,0,-9.8744,0.1565,-0.1409,0.033251,0.0191,11.71,15.51,-2.82
1778055757.8252797,17,0.2103,0,-6.9641,0.1905,-0.0372,0.039690,0.0165,9.50,16.84,-2.38
1778055758.0859914,18,0.2299,0,-4.5407,0.2190,0.1216,0.019406,0.0164,9.12,19.44,-3.09
1778055758.3390718,19,0.2475,0,-3.4524,0.2304,0.3024,0.004073,0.0249,11.29,20.54,-3.96
1778055758.615927,20,0.2617,0,-3.7731,0.2232,0.4693,0.006852,0.0116,13.93,18.14,-4.10
1778055758.8789918,21,0.2698,0,-5.2548,0.2013,0.5944,0.024561,0.0172,15.60,11.87,-3.33
1778055759.1521842,22,0.2716,0,-6.5484,0.1828,0.6868,0.021487,0.0268,12.19,5.09,-2.13
1778055759.4185352,23,0.2689,0,-7.1112,0.1741,0.7676,0.011381,0.0116,4.59,0.04,-0.68
1778055759.6872733,24,0.2640,0,-6.7324,0.1763,0.8595,0.018724,0.0135,-3.12,-1.45,0.38
1778055759.9477563,25,0.2586,0,-5.0534,0.1919,0.9882,0.023795,0.0081,-10.63,0.34,0.67
1778055760.2013142,26,0.2537,0,-3.1735,0.2083,1.1539,0.014768,0.0179,-16.15,2.79,1.14
1778055760.4811924,27,0.2502,0,-1.8986,0.2182,1.3419,0.006168,0.0090,-18.69,4.99,1.86
1778055760.7538798,28,0.2479,0,-1.0902,0.2235,1.5418,0.001451,0.0104,-20.78,6.00,2.31
1778055761.028939,29,0.2449,0,-1.0338,0.2220,1.7402,0.001751,0.0129,-21.28,6.13,2.40
1778055761.2891517,30,0.2409,0,-2.2371,0.2106,1.9164,0.018289,0.0088,-16.42,6.45,2.20
1778055761.5574572,31,0.2364,0,-4.1766,0.1942,2.0600,0.038637,0.0092,-7.34,6.89,1.63
1778055761.8207214,32,0.2314,0,-6.6071,0.1752,2.1655,0.035326,0.0111,2.60,6.84,0.53
1778055762.0892382,33,0.2279,0,-9.1765,0.1563,2.2325,0.015663,0.0098,12.52,5.78,-0.68
1778055762.3724756,34,0.2270,0,-10.7952,0.1444,2.2751,0.006683,0.0183,20.16,4.01,-1.06
