time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777983363.0957353,1,0.9996,0,-13.7970,-13.7912,-13.7970,5.284294,0.0875,-17.18
1777983363.316049,2,0.9996,0,-16.9549,-8.4766,-19.6153,0.633471,0.0688,-14.82
1777983363.5832393,3,0.9997,0,-16.9549,-5.6520,-22.4973,0.464890,0.0617,-5.78
1777983363.8441062,4,0.9998,0,-16.9549,-4.2393,-24.2917,0.511529,0.0936,4.94
1777983364.0718653,5,0.9998,0,-16.9549,-3.3916,-25.3310,0.647620,0.0433,18.08
1777983364.332348,6,0.9999,0,-16.9549,-2.8264,-25.7010,0.719621,0.0835,30.90
1777983364.6015043,7,0.9999,0,-16.9549,-2.4226,-25.6746,0.790735,0.0977,39.43
1777983364.8215098,8,0.9999,0,-16.9549,-2.1198,-25.4175,0.865280,0.0765,46.84
1777983365.0952704,9,1.0000,0,-16.9549,-1.8843,-25.0330,0.803733,0.0874,51.36
1777983365.3399432,10,0.9999,0,-16.9549,-1.6959,-24.5856,0.676285,0.0919,48.45
1777983365.6070354,11,0.9999,0,-16.9549,-1.5417,-24.1162,0.608933,0.0801,36.93
1777983365.8491263,12,0.9998,0,-16.9549,-1.4133,-23.6496,0.500992,0.0921,22.36
1777983366.1011982,13,0.9997,0,-16.9549,-1.3046,-23.2007,0.401146,0.0711,7.84
1777983366.353419,14,0.9996,0,-16.9549,-1.2115,-22.7775,0.410532,0.0948,-4.26
1777983366.6011717,15,0.9995,0,-16.9549,-1.1307,-22.3841,0.382083,0.0943,-8.82
1777983366.8588428,16,0.9995,0,-16.9549,-1.0601,-22.0218,0.359887,0.0978,-7.64
1777983367.088763,17,0.9996,0,-16.9549,-0.9965,-21.6892,0.352639,0.0798,-4.64
1777983367.3363166,18,0.9996,0,-16.9549,-0.9367,-21.3829,0.355214,0.0757,-1.59
1777983367.6130621,19,0.9996,0,-16.9549,-0.8805,-21.0997,0.365713,0.1062,-2.90
1777983367.8505979,20,0.9996,0,-16.9549,-0.8277,-20.8374,0.359582,0.0940,-6.77
1777983368.097328,21,0.9997,0,-16.9549,-0.7781,-20.5938,0.366455,0.0965,-12.21
1777983368.333632,22,0.9997,0,-16.9549,-0.7314,-20.3671,0.350735,0.0793,-17.00
1777983368.5820704,23,0.9997,0,-16.9549,-0.6875,-20.1559,0.319780,0.0873,-18.40
1777983368.8312287,24,0.9997,0,-16.9549,-0.6462,-19.9587,0.309424,0.0752,-19.81
1777983369.0844572,25,0.9998,0,-16.9549,-0.6075,-19.7744,0.293215,0.0834,-20.68
1777983369.3522177,26,0.9998,0,-16.9549,-0.5710,-19.6021,0.288936,0.1021,-20.67
1777983369.5947893,27,0.9998,0,-16.9549,-0.5368,-19.4408,0.292067,0.0851,-20.25
