time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1778056492.6903582,56,0.2169,0,-14.3755,0.1705,3.0486,0.040122,0.0273,-10.21,-8.14,-1.72
1778056492.9548364,57,0.2196,0,-17.4042,0.1582,2.8310,0.029924,0.0287,-11.37,-13.95,-2.87
1778056493.228824,58,0.2213,0,-19.6811,0.1489,2.5637,0.013900,0.0325,-12.10,-17.37,-3.69
1778056493.4922082,59,0.2220,0,-20.2789,0.1461,2.2862,0.007186,0.0308,-13.14,-18.70,-4.23
1778056493.7668042,60,0.2218,0,-18.3924,0.1525,2.0553,0.035782,0.0302,-14.37,-17.84,-4.23
1778056494.0266628,61,0.2209,0,-14.6065,0.1657,1.9124,0.076302,0.0267,-15.18,-14.25,-3.46
1778056494.2999632,62,0.2188,0,-10.2746,0.1804,1.8682,0.079469,0.0246,-15.65,-7.53,-2.10
1778056494.5639677,63,0.2149,0,-6.7126,0.1919,1.9036,0.046080,0.0308,-13.47,2.06,-0.59
1778056494.8352997,64,0.2095,0,-4.1786,0.1996,1.9940,0.015254,0.0242,-7.25,12.99,-0.67
1778056495.106857,65,0.2033,0,-2.6122,0.2038,2.1167,0.002155,0.0260,3.40,22.84,-4.49
1778056495.3697972,66,0.1977,0,-1.9342,0.2053,2.2521,0.000239,0.0286,16.52,30.32,-11.14
1778056495.6512403,67,0.1929,0,-1.5407,0.2058,2.3939,0.000390,0.0299,28.18,35.90,-18.82
1778056495.9097564,68,0.1885,0,-1.1299,0.2064,2.5419,0.000508,0.0274,36.56,39.23,-25.46
1778056496.1804569,69,0.1847,0,-0.2488,0.2082,2.7041,0.001909,0.0314,38.73,41.57,-27.97
1778056496.4485862,70,0.1806,0,1.0390,0.2110,2.8869,0.003420,0.0236,36.51,43.89,-27.09
1778056496.718482,71,0.1752,0,1.3466,0.2112,3.0727,0.003394,0.0327,35.48,45.65,-26.96
1778056496.9709692,72,0.1702,0,0.2712,0.2082,3.2383,0.011072,0.0209,37.34,47.09,-29.22
1778056497.259263,73,0.1683,0,-2.5892,0.2011,3.3552,0.020832,0.0305,43.14,49.04,-35.42
1778056497.5190876,74,0.1733,0,-5.8086,0.1931,3.4137,0.010043,0.0283,53.45,50.99,-46.64
1778056497.800695,75,0.1848,0,-7.6646,0.1880,3.4290,0.008719,0.0318,66.20,52.33,-61.33
1778056498.0764985,76,0.1955,0,-9.9275,0.1817,3.3910,0.011733,0.0395,82.10,53.33,-80.79
1778056498.3390818,77,0.2026,0,-5.2970,0.1934,3.4351,0.011309,0.0380,90.44,54.15,-90.90
1778056498.5985732,78,0.2046,0,6.9793,0.2251,3.7166,0.005666,0.0318,86.91,57.10,-86.45
1778056498.8748097,79,0.2021,0,13.8120,0.2420,4.1239,0.004152,0.0313,85.53,59.16,-84.70
