time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779720946.5558295,1,0.0194,1,0.0000,0.0000,0.0000,0.060105,0.2997,18.45,29.40,2.21,1.000000,1.000000,1,0
1779720947.0246818,2,0.0193,1,0.0000,0.0000,0.0000,0.078853,0.2620,17.73,26.29,2.34,0.500000,0.500000,1,0
1779720947.3258696,3,0.0192,1,0.0000,0.0000,0.0000,0.102681,0.2909,16.02,22.85,2.47,0.333333,0.333333,0,0
1779720947.7994137,4,0.0201,1,0.0000,0.0000,0.0000,0.095029,0.2379,12.41,21.15,2.45,0.250000,0.250000,0,0
1779720948.10296,5,0.0237,1,0.0000,0.0000,0.0000,0.082827,0.2753,12.63,21.84,2.40,0.200000,0.200000,0,0
1779720948.5549483,6,0.0540,1,0.0000,0.0000,0.0000,0.299496,0.2076,14.69,18.60,2.43,0.166667,0.166667,0,0
1779720948.8375762,7,0.0763,1,0.0000,0.0000,0.0000,0.335393,0.2161,14.48,15.17,2.45,0.142857,0.159104,0,0
1779720949.1307762,8,0.0992,1,0.0000,0.0000,0.0000,0.287349,0.2496,13.78,12.87,2.41,0.125000,0.159104,0,0
1779720949.2456505,9,0.1216,0,-14.7580,-0.1994,-0.4810,0.202940,0.1017,13.44,13.12,2.20,0.111111,0.159104,0,0
1779720949.6000354,10,0.1436,0,-11.8587,-0.1549,-0.8922,0.152016,0.1932,13.86,14.16,1.94,0.100000,0.159104,0,0
1779720949.8714352,11,0.1664,0,-9.5077,-0.1169,-1.2342,0.149692,0.1933,13.75,14.32,1.68,0.090909,0.159104,0,0
1779720950.124513,12,0.1894,0,-7.7395,-0.0872,-1.5149,0.140363,0.1751,13.57,14.09,1.41,0.083333,0.159104,0,0
1779720950.4050512,13,0.2105,0,-6.5233,-0.0661,-1.7465,0.120922,0.2063,12.94,13.51,1.17,0.076923,0.159104,0,0
1779720950.6784582,14,0.2283,0,-5.9330,-0.0554,-1.9519,0.090548,0.2084,12.25,12.41,1.01,0.071429,0.159104,0,0
1779720950.9566224,15,0.2419,0,-5.8960,-0.0539,-2.1555,0.068790,0.2178,11.95,10.80,0.93,0.066667,0.159104,0,0
1779720951.2012837,16,0.2516,0,-5.7367,-0.0505,-2.3474,0.047904,0.2002,10.13,9.49,0.83,0.062500,0.159104,0,0
1779720951.4755545,17,0.2584,0,-5.4977,-0.0461,-2.5211,0.040865,0.2060,7.55,7.87,0.74,0.058824,0.159104,0,0
1779720951.7599614,18,0.2628,0,-5.3056,-0.0427,-2.6785,0.043077,0.2190,5.05,6.05,0.66,0.055556,0.159104,0,0
1779720952.0346413,19,0.2642,0,-5.1563,-0.0400,-2.8209,0.048439,0.2255,2.14,4.09,0.60,0.052632,0.159104,0,0
1779720952.3444653,20,0.2628,0,-4.9491,-0.0367,-2.9451,0.059425,0.2794,-2.16,2.36,0.51,0.050000,0.159104,0,0
1779720952.8106112,21,0.2561,0,-4.0504,-0.0253,-3.0144,0.082588,0.1905,-11.90,1.58,0.24,0.047619,0.159104,0,0
1779720953.086728,22,0.2518,0,-3.1256,-0.0145,-3.0328,0.056217,0.2163,-15.90,3.46,0.01,0.045455,0.159104,0,0
1779720953.3844566,23,0.2474,0,-2.7266,-0.0100,-3.0303,0.034673,0.2354,-16.20,5.19,-0.08,0.043478,0.159104,0,0
1779720953.5862896,24,0.2434,0,-2.9723,-0.0124,-3.0400,0.054088,0.1735,-12.92,6.17,-0.00,0.041667,0.159104,0,0
1779720953.897437,25,0.2398,0,-3.6533,-0.0188,-3.0815,0.089557,0.2118,-9.01,5.90,0.16,0.040000,0.159104,0,0
1779720954.1697717,26,0.2366,0,-4.8031,-0.0291,-3.1743,0.129098,0.2240,-4.35,4.31,0.42,0.038462,0.159104,0,0
1779720954.416111,27,0.2341,0,-6.2503,-0.0414,-3.3287,0.145661,0.2030,1.89,2.34,0.72,0.037037,0.159104,0,0
1779720954.6500587,28,0.2321,0,-7.7906,-0.0538,-3.5453,0.133740,0.1781,8.24,0.20,1.01,0.035714,0.159104,0,0
1779720954.9684224,29,0.2301,0,-9.4360,-0.0664,-3.8250,0.088292,0.2304,14.56,-2.09,1.30,0.034483,0.159104,0,0
1779720955.1920016,30,0.2290,0,-10.9211,-0.0773,-4.1580,0.034932,0.1866,20.35,-4.31,1.55,0.033333,0.159104,0,0
1779720955.4652956,31,0.2283,0,-11.9549,-0.0843,-4.5225,0.016924,0.1967,24.02,-6.30,1.69,0.032258,0.159104,0,0
1779720955.7332616,32,0.2269,0,-12.8494,-0.0901,-4.9099,0.018781,0.2081,24.57,-8.50,1.81,0.031250,0.159104,0,0
1779720956.0083835,33,0.2251,0,-13.7178,-0.0954,-5.3173,0.023221,0.2106,22.97,-10.89,1.91,0.030303,0.159104,0,0
1779720956.289863,34,0.2245,0,-14.2019,-0.0979,-5.7291,0.023727,0.2321,20.19,-12.60,1.92,0.029412,0.159104,0,0
1779720956.5243828,35,0.2258,0,-13.7430,-0.0943,-6.1079,0.043978,0.2002,16.45,-12.35,1.75,0.028571,0.159104,0,0
1779720956.7879035,36,0.2281,0,-12.4763,-0.0857,-6.4216,0.118083,0.2062,12.93,-9.61,1.43,0.027778,0.159104,0,0
1779720957.0653474,37,0.2303,0,-11.0443,-0.0763,-6.6645,0.201752,0.2131,10.31,-4.46,1.02,0.027027,0.159104,0,0
