time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777986649.0882547,1,0.0927,1,0.0429,0.0000,0.0000,0.000089,0.0747,27.23,23.76,-15.83
1777986649.3152707,2,0.1203,0,0.0429,0.0000,0.0026,0.000051,0.0692,25.29,22.20,-14.66
1777986649.5700521,3,0.1495,0,0.0429,0.0000,0.0046,0.000014,0.0730,21.28,20.68,-12.77
1777986649.8222716,4,0.1748,0,0.0429,0.0000,0.0063,0.000029,0.0734,17.51,20.06,-11.10
1777986650.0739906,5,0.1949,0,0.0429,0.0000,0.0078,0.000053,0.0648,16.79,19.35,-10.78
1777986650.3322792,6,0.2141,0,0.0429,0.0000,0.0095,0.000051,0.0727,17.45,17.86,-10.83
1777986650.5683618,7,0.2300,0,0.0429,0.0000,0.0112,0.000015,0.0710,17.37,15.41,-10.63
1777986650.8292897,8,0.2443,0,0.0429,0.0000,0.0129,0.000018,0.0664,16.91,13.61,-10.21
1777986651.0825317,9,0.2591,0,0.0429,0.0000,0.0146,0.000091,0.0753,16.81,13.93,-10.62
1777986651.3310888,10,0.2701,0,0.0429,0.0000,0.0162,0.000112,0.0743,17.98,13.46,-11.03
1777986651.5805378,11,0.2794,0,0.0429,0.0000,0.0179,0.000118,0.0712,20.30,10.48,-10.65
1777986651.8320718,12,0.2886,0,0.0429,0.0000,0.0194,0.000187,0.0744,17.74,7.34,-9.54
1777986652.0810087,13,0.2950,0,0.0429,0.0000,0.0210,0.000159,0.0753,13.06,6.21,-7.65
1777986652.3311706,14,0.3007,0,0.0429,0.0000,0.0224,0.000255,0.0673,11.55,7.44,-7.74
1777986652.5918086,15,0.3062,0,0.0429,0.0000,0.0238,0.000233,0.0812,12.22,9.19,-8.61
1777986652.82326,16,0.3100,0,0.0429,0.0000,0.0251,0.000456,0.0763,13.73,7.24,-8.12
1777986653.0805027,17,0.3127,0,0.0429,0.0000,0.0263,0.000635,0.0687,12.19,2.46,-7.10
1777986653.3327267,18,0.3133,0,0.0429,0.0000,0.0274,0.000345,0.0692,7.93,0.11,-5.25
1777986653.5846615,19,0.3121,0,0.0429,0.0000,0.0285,0.000518,0.0723,7.78,2.35,-6.17
1777986653.817053,20,0.3099,0,0.0429,0.0000,0.0295,0.000477,0.0706,10.92,6.20,-8.06
1777986654.0653443,21,0.3077,0,0.0429,0.0000,0.0304,0.000191,0.0654,13.61,6.71,-8.38
