time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777994819.1523206,67,0.9986,0,21.7813,0.3270,24.2539,1.512207,0.0052,28.63
1777994819.4158828,68,0.9973,0,21.9702,0.3250,24.0084,1.712559,0.0164,42.18
1777994819.6937099,69,0.9955,0,22.2539,0.3244,23.8789,1.892251,0.0071,55.31
1777994819.96183,70,0.9937,0,22.4135,0.3220,23.8114,1.998530,0.0080,63.31
1777994820.2234368,71,0.9924,0,22.9274,0.3247,23.8731,1.962750,0.0077,62.16
1777994820.5028048,72,0.9918,0,23.3840,0.3265,24.0222,1.771968,0.0134,50.54
1777994820.7669408,73,0.9917,0,23.7325,0.3268,24.2150,1.473554,0.0054,32.41
1777994821.0243587,74,0.9918,0,24.3203,0.3303,24.4964,1.031787,0.0063,12.63
1777994821.3005393,75,0.9917,0,24.5715,0.3293,24.7704,0.674627,0.0060,-4.54
1777994821.5716178,76,0.9907,0,24.7795,0.3277,25.0288,0.466174,0.0084,-15.56
1777994821.8276255,77,0.9884,0,24.9897,0.3262,25.2758,0.374261,0.0105,-20.96
1777994822.1054742,78,0.9853,0,25.0432,0.3227,25.4786,0.371965,0.0054,-22.86
1777994822.3652601,79,0.9825,0,25.0581,0.3189,25.6382,0.414873,0.0149,-23.46
1777994822.633227,80,0.9803,0,24.9046,0.3131,25.7263,0.457475,0.0068,-23.49
1777994822.9093392,81,0.9792,0,24.7527,0.3075,25.7587,0.477155,0.0059,-23.60
1777994823.1583822,82,0.9786,0,24.7527,0.3038,25.7814,0.475901,0.0052,-23.68
1777994823.4458761,83,0.9781,0,24.8077,0.3009,25.8089,0.490410,0.0065,-23.71
1777994823.7263043,84,0.9781,0,24.5613,0.2945,25.7727,0.531927,0.0082,-23.68
1777994823.975207,85,0.9797,0,23.8803,0.2833,25.5885,0.631099,0.0053,-23.72
1777994824.248773,86,0.9836,0,23.6221,0.2771,25.3817,0.593473,0.0116,-23.70
1777994824.5160398,87,0.9887,0,23.5754,0.2734,25.2042,0.507374,0.0054,-24.20
1777994824.7869968,88,0.9938,0,23.9865,0.2750,25.1538,0.435048,0.0084,-25.77
1777994825.0354338,89,0.9977,0,24.6913,0.2798,25.2712,0.287772,0.0058,-24.63
1777994825.3068507,90,0.9994,0,25.0694,0.2809,25.4463,0.282935,0.0043,-21.31
1777994825.5826867,91,0.9996,0,25.0739,0.2778,25.5816,0.341073,0.0055,-19.03
1777994825.854671,92,0.9992,0,24.8775,0.2727,25.6403,0.423043,0.0104,-15.47
1777994826.1118076,93,0.9986,0,24.8689,0.2697,25.6819,0.458651,0.0127,-14.16
1777994826.3847883,94,0.9981,0,24.7028,0.2650,25.6747,0.476690,0.0052,-14.62
1777994826.6641278,95,0.9977,0,24.6234,0.2614,25.6489,0.502901,0.0066,-13.08
1777994826.9193747,96,0.9976,0,24.6686,0.2592,25.6369,0.532017,0.0077,-11.13
1777994827.1970365,97,0.9976,0,24.6730,0.2566,25.6265,0.590848,0.0053,-8.55
1777994827.4579027,98,0.9980,0,24.6129,0.2533,25.6025,0.695501,0.0098,-4.23
1777994827.7200208,99,0.9985,0,24.7403,0.2521,25.6106,0.809025,0.0058,1.28
1777994827.989229,100,0.9990,0,24.5657,0.2478,25.5752,0.956365,0.0068,6.36
1777994828.271184,101,0.9994,0,24.3884,0.2436,25.5053,1.071261,0.0059,9.51
1777994828.5327623,102,0.9992,0,24.2801,0.2401,25.4244,1.078661,0.0110,8.27
1777994828.8072157,103,0.9985,0,24.1609,0.2367,25.3326,1.015603,0.0087,4.48
1777994829.069843,104,0.9974,0,24.4059,0.2367,25.3149,0.869588,0.0077,-1.41
1777994829.3544545,105,0.9963,0,24.5904,0.2362,25.3412,0.669604,0.0063,-8.71
1777994829.630861,106,0.9955,0,25.0054,0.2379,25.4539,0.501256,0.0145,-14.68
1777994829.8904128,107,0.9950,0,25.2005,0.2375,25.5843,0.381747,0.0064,-19.74
1777994830.177411,108,0.9947,0,25.2836,0.2361,25.7033,0.314065,0.0073,-22.87
1777994830.4375598,109,0.9945,0,25.1140,0.2324,25.7565,0.315547,0.0119,-25.24
1777994830.7102077,110,0.9946,0,24.6333,0.2260,25.6882,0.332606,0.0052,-29.28
1777994830.9832258,111,0.9951,0,24.0631,0.2188,25.5046,0.348928,0.0053,-32.86
1777994831.252018,112,0.9957,0,23.3480,0.2105,25.1983,0.417380,0.0053,-31.49
1777994831.5355675,113,0.9964,0,22.7578,0.2035,24.8240,0.555326,0.0123,-24.05
1777994831.8000367,114,0.9969,0,22.1984,0.1968,24.4037,0.728997,0.0054,-11.28
1777994832.0697632,115,0.9971,0,21.7302,0.1910,23.9684,0.888173,0.0063,1.84
1777994832.342665,116,0.9970,0,21.4747,0.1872,23.5695,1.020617,0.0055,9.75
