time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1778070398.2817066,59,0.9959,0,24.2890,0.4137,29.5837,0.603732,0.1060,-5.28
1778070398.5604033,60,0.9954,0,24.2488,0.4062,29.5156,0.589117,0.1249,-7.28
1778070398.8281403,61,0.9957,0,23.9542,0.3947,29.4181,0.676246,0.1255,-5.36
1778070399.1021945,62,0.9967,0,23.3113,0.3780,29.2597,0.889765,0.1282,0.20
1778070399.3634536,63,0.9979,0,22.7313,0.3629,29.0518,1.077980,0.1238,6.92
1778070399.6269307,64,0.9988,0,22.1449,0.3480,28.7984,1.289742,0.1176,16.27
1778070399.904476,65,0.9986,0,21.7813,0.3371,28.5260,1.512207,0.1060,28.63
1778070400.175716,66,0.9973,0,21.9702,0.3349,28.2906,1.712559,0.1180,42.18
1778070400.4465418,67,0.9955,0,22.2539,0.3341,28.0983,1.892251,0.1184,55.31
1778070400.7628217,68,0.9937,0,22.4135,0.3316,27.9337,1.998530,0.1541,63.31
1778070401.0035534,69,0.9924,0,22.9274,0.3342,27.8280,1.962750,0.1247,62.16
1778070401.259112,70,0.9918,0,23.3840,0.3359,27.7705,1.771968,0.1013,50.54
1778070401.538126,71,0.9917,0,23.7326,0.3361,27.7466,1.473554,0.1133,32.41
1778070401.798564,72,0.9918,0,24.3203,0.3396,27.7761,1.031787,0.1059,12.63
1778070402.0766838,73,0.9917,0,24.5715,0.3384,27.8229,0.674627,0.1131,-4.54
1778070402.3451018,74,0.9907,0,24.7795,0.3366,27.8816,0.466174,0.1147,-15.56
1778070402.6104,75,0.9884,0,24.9897,0.3349,27.9518,0.374261,0.1160,-20.96
1778070402.8807063,76,0.9853,0,25.0432,0.3313,28.0182,0.371965,0.1180,-22.86
1778070403.1556375,77,0.9825,0,25.0581,0.3273,28.0774,0.414873,0.1228,-23.46
1778070403.415338,78,0.9803,0,24.9046,0.3212,28.1143,0.457475,0.1142,-23.49
1778070403.6877143,79,0.9792,0,24.7527,0.3154,28.1308,0.477155,0.1238,-23.60
1778070403.9517953,80,0.9786,0,24.7527,0.3115,28.1427,0.475901,0.1166,-23.68
1778070404.2129147,81,0.9781,0,24.8078,0.3084,28.1553,0.490410,0.1088,-23.71
1778070404.5071933,82,0.9781,0,24.5613,0.3018,28.1408,0.531927,0.1294,-23.68
1778070404.7585914,83,0.9797,0,23.8803,0.2902,28.0610,0.631099,0.1266,-23.72
1778070405.027039,84,0.9836,0,23.6221,0.2838,27.9592,0.593473,0.1235,-23.70
1778070405.2801518,85,0.9887,0,23.5754,0.2799,27.8564,0.507374,0.1051,-24.20
1778070405.5638163,86,0.9938,0,23.9865,0.2814,27.7954,0.435048,0.1136,-25.77
1778070405.8394885,87,0.9977,0,24.6913,0.2863,27.8010,0.287772,0.1207,-24.63
1778070406.0912094,88,0.9994,0,25.0694,0.2873,27.8379,0.282935,0.1061,-21.31
1778070406.3677933,89,0.9996,0,25.0739,0.2842,27.8692,0.341073,0.1149,-19.03
1778070406.6378014,90,0.9992,0,24.8775,0.2788,27.8768,0.423043,0.1186,-15.47
1778070406.9156468,91,0.9986,0,24.8689,0.2757,27.8803,0.458651,0.1179,-14.16
1778070407.167261,92,0.9981,0,24.7028,0.2709,27.8655,0.476690,0.0959,-14.62
1778070407.448381,93,0.9977,0,24.6234,0.2671,27.8420,0.502901,0.1145,-13.08
1778070407.7085698,94,0.9976,0,24.6686,0.2648,27.8221,0.532017,0.1108,-11.13
1778070407.9820561,95,0.9976,0,24.6730,0.2620,27.8017,0.590848,0.1170,-8.55
1778070408.260252,96,0.9980,0,24.6129,0.2587,27.7748,0.695501,0.1246,-4.23
1778070408.5090551,97,0.9985,0,24.7403,0.2573,27.7594,0.809025,0.1012,1.28
1778070408.7815404,98,0.9990,0,24.5657,0.2529,27.7265,0.956365,0.0977,6.36
1778070409.0672536,99,0.9994,0,24.3884,0.2486,27.6776,1.071261,0.1144,9.51
1778070409.326669,100,0.9992,0,24.2801,0.2450,27.6205,1.078661,0.1052,8.27
1778070409.5964227,101,0.9985,0,24.1609,0.2414,27.5552,1.015603,0.1130,4.48
1778070409.8861055,102,0.9974,0,24.4059,0.2414,27.5160,0.869588,0.1221,-1.41
1778070410.1407676,103,0.9963,0,24.5904,0.2409,27.4950,0.669604,0.1181,-8.71
1778070410.4120648,104,0.9955,0,25.0054,0.2426,27.5119,0.501256,0.1102,-14.68
1778070410.6753123,105,0.9950,0,25.2005,0.2421,27.5431,0.381747,0.1105,-19.74
1778070410.9525006,106,0.9947,0,25.2836,0.2406,27.5773,0.314065,0.1182,-22.87
1778070411.2371721,107,0.9945,0,25.1140,0.2368,27.5913,0.315547,0.1215,-25.24
1778070411.4956834,108,0.9946,0,24.6333,0.2302,27.5583,0.332606,0.1139,-29.28
1778070411.768642,109,0.9951,0,24.0631,0.2229,27.4741,0.348928,0.1097,-32.86
1778070412.037329,110,0.9957,0,23.3480,0.2144,27.3298,0.417380,0.1113,-31.49
1778070412.3116622,111,0.9964,0,22.7578,0.2072,27.1417,0.555326,0.1137,-24.05
1778070412.5789092,112,0.9969,0,22.1984,0.2004,26.9165,0.728997,0.1028,-11.28
1778070412.8670256,113,0.9971,0,21.7302,0.1945,26.6657,0.888173,0.1196,1.84
1778070413.1300764,114,0.9970,0,21.4747,0.1905,26.4109,1.020617,0.1154,9.75
1778070413.390462,115,0.9965,0,21.7595,0.1913,26.2017,1.185129,0.1064,15.58
