time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779800999.708003,1,0.0255,1,0.0000,0.0000,0.0000,0.206861,0.2978,22.63,30.74,3.66,1.000000,1.000000,0,1
1779801000.1509688,2,0.0256,1,0.0000,0.0000,0.0000,0.329092,0.2548,20.85,26.35,3.94,0.500000,0.500000,0,1
1779801000.4289174,3,0.0258,1,0.0000,0.0000,0.0000,0.408197,0.2703,19.18,21.87,4.16,0.333333,0.333333,0,1
1779801000.890981,4,0.0261,1,0.0000,0.0000,0.0000,0.566723,0.2397,14.30,10.47,4.72,0.250000,0.250000,0,1
1779801001.1349218,5,0.0262,1,0.0000,0.0000,0.0000,0.635415,0.2304,11.85,6.39,4.95,0.200000,0.200000,0,1
1779801001.4279683,6,0.0263,1,0.0000,0.0000,0.0000,0.679715,0.2727,10.09,4.34,5.08,0.166667,0.166667,0,1
1779801001.931603,7,0.0264,1,0.0000,0.0000,0.0000,0.684929,0.2817,9.93,3.42,5.12,0.142857,0.159104,0,1
1779801002.4324458,8,0.0265,1,0.0000,0.0000,0.0000,0.639677,0.2853,12.89,3.26,5.04,0.125000,0.159104,0,1
1779801002.9201884,9,0.0266,1,0.0000,0.0000,0.0000,0.603636,0.2571,16.94,2.08,4.99,0.111111,0.159104,0,1
1779801003.4096107,10,0.0267,1,0.0000,0.0000,0.0000,0.544536,0.2460,20.33,2.98,4.85,0.100000,0.159104,0,1
1779801003.936993,11,0.0264,1,0.0000,0.0000,0.0000,0.425727,0.2771,22.83,12.73,4.39,0.090909,0.159104,0,1
1779801004.379518,12,0.0259,1,0.0000,0.0000,0.0000,0.307687,0.2333,24.43,28.28,3.84,0.083333,0.159104,0,1
1779801004.705875,13,0.0256,1,0.0000,0.0000,0.0000,0.239718,0.2968,25.04,36.63,3.57,0.076923,0.159104,0,1
1779801005.2322726,14,0.0250,1,0.0000,0.0000,0.0000,0.078732,0.3160,26.27,53.12,3.08,0.071429,0.159104,0,1
1779801005.6959875,15,0.0244,1,0.0000,0.0000,0.0000,0.024324,0.2850,25.48,61.84,3.02,0.066667,0.159104,0,1
1779801006.1606727,16,0.0240,1,0.0000,0.0000,0.0000,0.063443,0.2459,23.07,59.74,3.30,0.062500,0.159104,0,1
1779801006.639138,17,0.0238,1,0.0000,0.0000,0.0000,0.118633,0.2408,21.35,53.37,3.58,0.058824,0.159104,0,1
1779801006.8902209,18,0.0237,1,0.0000,0.0000,0.0000,0.146222,0.2424,20.49,50.27,3.70,0.055556,0.159104,0,1
1779801007.1808054,19,0.0236,1,0.0000,0.0000,0.0000,0.174888,0.2839,19.42,47.25,3.81,0.052632,0.159104,0,1
1779801007.6865354,20,0.0237,1,0.0000,0.0000,0.0000,0.210627,0.2747,19.06,42.99,3.91,0.050000,0.159104,0,1
1779801008.1960282,21,0.0239,1,0.0000,0.0000,0.0000,0.222045,0.2825,19.88,40.40,3.91,0.047619,0.159104,0,1
1779801008.647813,22,0.0240,1,0.0000,0.0000,0.0000,0.227785,0.2458,19.72,39.47,3.93,0.045455,0.159104,0,1
1779801008.8837,23,0.0241,1,0.0000,0.0000,0.0000,0.231268,0.2281,19.50,38.86,3.95,0.043478,0.159104,0,1
1779801009.182397,24,0.0243,1,0.0000,0.0000,0.0000,0.230359,0.2819,19.54,38.23,3.95,0.041667,0.159104,0,1
1779801009.6331062,25,0.0246,1,0.0000,0.0000,0.0000,0.260354,0.2340,18.85,35.40,4.02,0.040000,0.159104,0,1
1779801009.9317393,26,0.0247,1,0.0000,0.0000,0.0000,0.336251,0.2605,17.67,31.48,4.17,0.038462,0.159104,0,1
1779801010.4532912,27,0.0255,1,0.0000,0.0000,0.0000,0.581971,0.2911,15.70,19.92,4.68,0.037037,0.159104,0,1
1779801010.9163573,28,0.0263,1,0.0000,0.0000,0.0000,0.814147,0.2538,12.19,7.49,5.27,0.035714,0.159104,0,1
1779801011.4164045,29,0.0268,1,0.0000,0.0000,0.0000,0.970488,0.2673,6.18,-3.43,5.77,0.034483,0.159104,0,1
1779801011.9413154,30,0.0272,1,0.0000,0.0000,0.0000,1.040889,0.2783,1.05,-9.53,6.04,0.033333,0.159104,0,1
1779801012.4266615,31,0.0271,1,0.0000,0.0000,0.0000,0.990373,0.2643,-3.03,-8.32,5.92,0.032258,0.159104,0,1
1779801012.8911552,32,0.0267,1,0.0000,0.0000,0.0000,0.816136,0.2434,-0.96,-1.30,5.43,0.031250,0.159104,0,1
1779801013.1395926,33,0.0264,1,0.0000,0.0000,0.0000,0.713673,0.2381,1.90,3.66,5.13,0.030303,0.159104,0,1
1779801013.374218,34,0.0262,1,0.0000,0.0000,0.0000,0.614105,0.2254,5.91,8.75,4.82,0.029412,0.159104,0,1
1779801013.6440392,35,0.0260,1,0.0000,0.0000,0.0000,0.508880,0.2478,10.03,13.98,4.50,0.028571,0.159104,0,1
1779801013.9169874,36,0.0258,1,0.0000,0.0000,0.0000,0.401544,0.2569,14.28,19.23,4.19,0.027778,0.159104,0,1
1779801014.424734,37,0.0255,1,0.0000,0.0000,0.0000,0.189221,0.2690,22.36,28.83,3.61,0.027027,0.159104,0,1
1779801014.9538968,38,0.0255,1,0.0000,0.0000,0.0000,0.098477,0.3022,26.18,33.39,3.34,0.026316,0.159104,0,1
1779801015.38919,39,0.0257,1,0.0000,0.0000,0.0000,0.093161,0.2217,27.75,33.35,3.32,0.025641,0.159104,0,1
1779801015.641796,40,0.0257,1,0.0000,0.0000,0.0000,0.113583,0.2372,28.13,33.05,3.20,0.025000,0.159104,0,1
1779801015.9985082,41,0.0257,1,0.0000,0.0000,0.0000,0.532124,0.3315,27.71,32.97,2.28,0.024390,0.159104,0,1
1779801016.3757794,42,0.0256,1,0.0000,0.0000,0.0000,2.155652,0.2217,25.78,33.45,-0.62,0.023810,0.159104,0,0
1779801016.5630739,43,0.0256,1,0.0000,0.0000,0.0000,2.632288,0.1668,24.60,33.80,-2.25,0.023256,0.159104,0,1
1779801016.933941,44,0.0256,1,0.0000,0.0000,0.0000,2.668012,0.2784,23.72,34.14,-3.37,0.022727,0.159104,0,1
1779801017.4350574,45,0.0255,1,0.0000,0.0000,0.0000,2.228185,0.2861,22.53,34.55,-4.68,0.022222,0.159104,0,1
1779801017.889243,46,0.0256,1,0.0000,0.0000,0.0000,2.004843,0.2362,22.27,34.60,-4.98,0.021739,0.159104,0,1
1779801018.1775112,47,0.0255,1,0.0000,0.0000,0.0000,1.628726,0.2675,22.75,34.17,-4.16,0.021277,0.159104,0,1
1779801018.6855059,48,0.0256,1,0.0000,0.0000,0.0000,0.337020,0.2613,22.85,31.63,-1.82,0.020833,0.159104,0,1
1779801019.1863787,49,0.0259,1,0.0000,0.0000,0.0000,0.098837,0.2790,23.77,23.62,-0.66,0.020408,0.159104,0,1
1779801019.7045271,50,0.0266,1,0.0000,0.0000,0.0000,0.009839,0.2990,24.42,6.72,0.93,0.020000,0.159104,0,1
1779801020.1482396,51,0.0276,1,0.0000,0.0000,0.0000,0.008171,0.2417,22.55,-18.97,4.49,0.019608,0.159104,0,1
1779801020.6665409,52,0.0287,1,0.0000,0.0000,0.0000,0.009233,0.2649,5.96,-47.22,24.04,0.019231,0.159104,0,1
1779801021.2064555,53,0.0294,1,0.0000,0.0000,0.0000,0.010753,0.2957,-0.46,-68.06,31.32,0.018868,0.159104,0,1
1779801021.6888855,54,0.0296,1,0.0000,0.0000,0.0000,0.010695,0.2842,-1.08,-74.25,32.10,0.018519,0.159104,0,1
1779801022.2459295,55,0.0292,1,0.0000,0.0000,0.0000,0.008633,0.3413,1.19,-63.19,29.39,0.018182,0.159104,0,1
1779801022.6534047,56,0.0285,1,0.0000,0.0000,0.0000,0.008402,0.2512,19.56,-38.87,9.96,0.017857,0.159104,0,1
