time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777994138.9898753,1,0.9996,0,24.1304,24.1202,24.1304,0.629163,0.0210,-8.13
1777994139.0076675,2,0.9995,0,24.1745,12.0883,30.1996,0.563522,0.0051,-11.21
1777994139.0368207,3,0.9995,0,24.0249,8.0112,33.4847,0.640576,0.0121,-10.10
1777994139.2272239,4,0.9995,0,23.6015,5.9035,35.4434,0.708045,0.0057,-9.44
1777994139.4848487,5,0.9995,0,23.5160,4.7063,36.5039,0.699978,0.0057,-9.73
1777994139.7559154,6,0.9994,0,23.5473,3.9276,36.7312,0.635142,0.0066,-12.84
1777994140.0183375,7,0.9993,0,23.9637,3.4264,36.6089,0.626737,0.0050,-16.03
1777994140.2942731,8,0.9993,0,24.2246,3.0310,36.2618,0.629249,0.0054,-14.79
1777994140.5740159,9,0.9993,0,24.2684,2.6993,35.7414,0.664883,0.0072,-13.50
1777994140.8297923,10,0.9992,0,24.3948,2.4422,35.1623,0.688864,0.0062,-11.26
1777994141.0747137,11,0.9991,0,24.0797,2.1918,34.4458,0.629888,0.0068,-10.06
1777994141.3449306,12,0.9991,0,24.3226,2.0295,33.8128,0.562956,0.0119,-10.30
1777994141.6246915,13,0.9992,0,24.6051,1.8952,33.2752,0.548264,0.0232,-7.91
1777994141.8801692,14,0.9994,0,24.5168,1.7536,32.7251,0.590899,0.0060,-5.93
1777994142.1534047,15,0.9993,0,24.4551,1.6327,32.1877,0.680515,0.0050,-2.61
1777994142.4223638,16,0.9987,0,24.2363,1.5171,31.6312,0.789393,0.0161,0.96
1777994142.6699085,17,0.9979,0,24.0824,1.4190,31.0878,0.836849,0.0058,2.50
1777994142.9433405,18,0.9975,0,24.3566,1.3556,30.6744,0.841088,0.0109,3.35
1777994143.2069468,19,0.9978,0,24.5534,1.2947,30.3466,0.770910,0.0139,1.59
1777994143.4726837,20,0.9984,0,24.9632,1.2506,30.1446,0.645940,0.0044,0.26
1777994143.743891,21,0.9990,0,24.9402,1.1900,29.9338,0.586611,0.0103,-2.23
1777994143.994864,22,0.9994,0,24.4149,1.1121,29.5926,0.622510,0.0051,-4.53
1777994144.2670667,23,0.9994,0,23.5709,1.0271,29.0749,0.865773,0.0067,-0.69
1777994144.5430217,24,0.9995,0,22.5836,0.9432,28.3885,1.020973,0.0120,5.95
1777994144.810324,25,0.9998,0,21.7887,0.8737,27.6236,1.111454,0.0075,14.14
1777994145.0785654,26,1.0000,0,21.1742,0.8164,26.8468,1.186237,0.0075,24.79
1777994145.3502133,27,1.0000,0,20.9707,0.7787,26.1661,1.192009,0.0055,31.06
1777994145.6233525,28,1.0000,0,20.8958,0.7482,25.5945,1.198703,0.0053,32.02
1777994145.8941166,29,1.0000,0,21.2784,0.7356,25.2223,1.308641,0.0124,34.47
1777994146.1452515,30,1.0000,0,22.0657,0.7373,25.1058,1.449405,0.0090,36.95
1777994146.416696,31,1.0000,0,23.0416,0.7450,25.2347,1.415010,0.0055,33.93
1777994146.6974676,32,1.0000,0,24.0453,0.7531,25.5618,1.190909,0.0139,27.30
1777994146.9444714,33,0.9999,0,24.6558,0.7488,25.9478,0.889715,0.0059,16.49
1777994147.2174234,34,0.9998,0,24.9222,0.7346,26.2964,0.567991,0.0054,0.48
1777994147.482903,35,0.9997,0,25.0186,0.7163,26.5756,0.351873,0.0113,-11.22
1777994147.738253,36,0.9996,0,25.0317,0.6968,26.7812,0.260822,0.0145,-17.52
1777994148.0067725,37,0.9995,0,25.0159,0.6776,26.9233,0.234452,0.0063,-19.77
1777994148.2938788,38,0.9994,0,25.0549,0.6608,27.0298,0.268231,0.0111,-17.14
