time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1778070382.6949885,1,0.0197,1,-52.5902,0.0000,0.0000,0.041916,0.1777,83.12,67.46,-81.70
1778070383.0404003,2,0.0190,1,-54.8022,0.0000,0.0000,0.066302,0.1370,65.17,73.47,-63.40
1778070383.3504024,3,0.0191,1,-54.8022,0.0000,0.0000,0.073841,0.1799,69.10,72.02,-66.99
1778070383.592329,4,0.0192,1,-54.8022,0.0000,0.0000,0.121697,0.1450,60.84,68.27,-58.03
1778070383.8841283,5,0.0197,1,-54.8022,0.0000,0.0000,0.155665,0.1640,40.16,65.36,-36.99
1778070384.156464,6,0.0212,1,-65.3477,0.0000,0.0000,0.123974,0.1580,46.55,73.66,-44.42
1778070384.4120553,7,0.0276,1,-65.4592,0.0000,0.0000,0.093615,0.1405,50.66,75.28,-49.14
1778070384.674319,8,0.0471,1,-65.4592,0.0000,0.0000,0.079588,0.1290,62.73,74.21,-62.26
1778070384.9069865,9,0.0737,1,-26.3726,0.0000,0.0000,0.054867,0.1083,22.64,44.25,-15.55
1778070385.1874986,10,0.1058,0,-19.1526,0.0764,-0.1271,0.035735,0.1123,22.21,33.06,-12.24
1778070385.4612575,11,0.1376,0,-15.8828,0.1163,-0.2093,0.017442,0.1211,20.86,24.05,-9.21
1778070385.7191923,12,0.1654,0,-12.8117,0.1571,-0.2280,0.020579,0.1113,16.20,17.83,-5.30
1778070386.0017433,13,0.1892,0,-9.8744,0.1975,-0.1851,0.033251,0.1119,11.71,15.51,-2.82
1778070386.2593052,14,0.2103,0,-6.9641,0.2383,-0.0693,0.039690,0.1086,9.50,16.84,-2.38
1778070386.5238934,15,0.2299,0,-4.5407,0.2718,0.1120,0.019406,0.1084,9.12,19.44,-3.09
1778070386.7993162,16,0.2475,0,-3.4524,0.2844,0.3173,0.004073,0.1166,11.29,20.54,-3.96
1778070387.0656037,17,0.2617,0,-3.7731,0.2751,0.4975,0.006852,0.1130,13.93,18.14,-4.10
1778070387.351678,18,0.2698,0,-5.2548,0.2487,0.6119,0.024561,0.1176,15.60,11.87,-3.33
1778070387.6164365,19,0.2716,0,-6.5484,0.2267,0.6721,0.021487,0.1162,12.19,5.09,-2.13
1778070387.877186,20,0.2689,0,-7.1112,0.2161,0.7096,0.011381,0.1124,4.59,0.04,-0.68
1778070388.1460545,21,0.2640,0,-6.7324,0.2181,0.7599,0.018724,0.1038,-3.12,-1.45,0.38
1778070388.4223244,22,0.2586,0,-5.0534,0.2353,0.8654,0.023795,0.1166,-10.63,0.34,0.67
1778070388.6862533,23,0.2537,0,-3.1735,0.2534,1.0284,0.014768,0.1128,-16.15,2.79,1.14
1778070388.959296,24,0.2502,0,-1.8986,0.2641,1.2262,0.006168,0.1164,-18.69,4.99,1.86
1778070389.213997,25,0.2479,0,-1.0902,0.2695,1.4425,0.001451,0.1036,-20.78,6.00,2.31
1778070389.4811747,26,0.2449,0,-1.0338,0.2675,1.6542,0.001751,0.1095,-21.28,6.13,2.40
1778070389.752585,27,0.2409,0,-2.2371,0.2543,1.8256,0.018289,0.1172,-16.42,6.45,2.20
1778070390.02134,28,0.2364,0,-4.1766,0.2358,1.9391,0.038637,0.1147,-7.34,6.89,1.63
1778070390.2818568,29,0.2314,0,-6.6071,0.2145,1.9854,0.035326,0.1100,2.60,6.84,0.53
1778070390.577214,30,0.2279,0,-9.1765,0.1934,1.9640,0.015663,0.1265,12.52,5.78,-0.68
1778070390.8174696,31,0.2270,0,-10.7952,0.1801,1.9003,0.006683,0.1132,20.16,4.01,-1.06
