time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777994802.0752225,1,0.0197,1,-94.5821,0.0000,0.0000,0.018733,0.0097,146.15,45.78,-153.71
1777994802.1092184,2,0.0197,1,-101.6694,0.0000,0.0000,0.032805,0.0136,148.15,44.09,-156.07
1777994802.1380439,3,0.0192,1,-107.8094,0.0000,0.0000,0.045968,0.0131,156.08,46.61,-161.30
1777994802.3991027,4,0.0190,1,-102.7117,0.0000,0.0000,0.029771,0.0154,158.43,47.08,-163.25
1777994802.6614766,5,0.0191,1,-102.9912,0.0000,0.0000,0.035070,0.0152,155.27,46.12,-160.65
1777994802.9256694,6,0.0192,1,-111.1176,0.0000,0.0000,0.056612,0.0131,156.72,43.20,-162.71
1777994803.1843555,7,0.0197,1,-115.8147,0.0000,0.0000,0.066361,0.0159,161.17,45.46,-165.91
1777994803.4503708,8,0.0212,1,-116.0845,0.0000,0.0000,0.063715,0.0124,163.60,47.92,-166.90
1777994803.7242332,9,0.0276,1,-114.3423,0.0000,0.0000,0.046570,0.0121,164.91,48.56,-168.07
1777994803.9960716,10,0.0471,1,-125.1943,0.0000,0.0000,0.026789,0.0221,162.90,33.89,-170.35
1777994804.2368007,11,0.0737,1,-26.3726,0.0000,0.0000,0.054867,0.0055,22.64,44.25,-15.55
1777994804.5113695,12,0.1058,0,-19.1526,0.0637,-0.3822,0.035735,0.0055,22.21,33.06,-12.24
1777994804.773169,13,0.1376,0,-15.8828,0.0976,-0.7553,0.017442,0.0046,20.86,24.05,-9.21
1777994805.0350897,14,0.1654,0,-12.8117,0.1327,-1.0646,0.020579,0.0065,16.20,17.83,-5.30
1777994805.3136148,15,0.1892,0,-9.8744,0.1681,-1.2690,0.033251,0.0074,11.71,15.51,-2.82
1777994805.5820413,16,0.2103,0,-6.9641,0.2041,-1.3369,0.039690,0.0140,9.50,16.84,-2.38
1777994805.834396,17,0.2299,0,-4.5407,0.2341,-1.2760,0.019406,0.0055,9.12,19.44,-3.09
1777994806.100487,18,0.2475,0,-3.4524,0.2459,-1.1616,0.004073,0.0048,11.29,20.54,-3.96
1777994806.3752427,19,0.2617,0,-3.7731,0.2381,-1.0871,0.006852,0.0050,13.93,18.14,-4.10
