time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777982004.07744,56,0.9996,0,-16.7549,-0.1970,-17.7753,0.067830,0.0605,-8.26
1777982004.3488176,57,0.9995,0,-16.5549,-0.1732,-17.6431,0.105446,0.0829,-22.65
1777982004.5704353,58,0.9995,0,-16.4549,-0.1568,-17.5051,0.140086,0.0340,-33.62
1777982004.8452373,59,0.9996,0,-16.5549,-0.1534,-17.4166,0.150301,0.0905,-36.63
1777982005.0723453,60,0.9998,0,-16.7549,-0.1562,-17.3935,0.133851,0.0356,-34.36
1777982005.327116,61,0.9998,0,-16.8549,-0.1528,-17.3947,0.094381,0.0393,-26.55
1777982005.5817404,62,0.9997,0,-16.9549,-0.1497,-17.4151,0.052297,0.0645,-12.58
1777982005.8269582,63,0.9996,0,-16.9549,-0.1407,-17.4241,0.030908,0.0611,0.10
1777982006.0713289,64,0.9994,0,-16.9549,-0.1322,-17.4245,0.026173,0.0617,3.37
1777982006.3298097,65,0.9993,0,-16.8549,-0.1183,-17.3921,0.050397,0.0720,-1.65
1777982006.5810113,66,0.9993,0,-16.7549,-0.1052,-17.3346,0.076906,0.0682,-13.93
1777982006.8521907,67,0.9993,0,-16.7549,-0.0989,-17.2848,0.083922,0.0531,-24.98
1777982007.1086738,68,0.9995,0,-16.7549,-0.0930,-17.2413,0.086351,0.1025,-27.93
1777982007.325641,69,0.9996,0,-16.9549,-0.0994,-17.2561,0.067005,0.0590,-25.14
1777982007.5651312,70,0.9996,0,-16.9549,-0.0934,-17.2630,0.040711,0.0582,-18.91
1777982007.8508773,71,0.9995,0,-16.9549,-0.0878,-17.2641,0.028826,0.0827,-11.87
1777982008.0762813,72,0.9993,0,-16.9549,-0.0826,-17.2608,0.019289,0.0718,-5.22
1777982008.3286288,73,0.9991,0,-16.7549,-0.0656,-17.2012,0.034609,0.0683,-5.17
1777982008.5826705,74,0.9989,0,-16.5549,-0.0497,-17.0984,0.071723,0.0647,-11.77
1777982008.843277,75,0.9988,0,-16.3549,-0.0347,-16.9627,0.105936,0.0757,-23.00
1777982009.067401,76,0.9989,0,-16.2549,-0.0267,-16.8285,0.143548,0.0583,-34.99
1777982009.3179543,77,0.9990,0,-16.3549,-0.0311,-16.7490,0.154593,0.0629,-38.55
1777982009.5894952,78,0.9992,0,-16.5549,-0.0412,-16.7386,0.132550,0.0853,-35.95
1777982009.8418105,79,0.9993,0,-16.7549,-0.0507,-16.7818,0.098409,0.0837,-30.76
1777982010.0990891,80,0.9995,0,-16.9549,-0.0597,-16.8663,0.055104,0.0785,-21.71
1777982010.3772836,81,0.9996,0,-16.9549,-0.0561,-16.9295,0.032494,0.0625,-8.64
1777982010.5823882,82,0.9994,0,-16.9549,-0.0527,-16.9762,0.031236,0.0640,5.48
1777982010.8496256,83,0.9992,0,-16.9549,-0.0496,-17.0103,0.030205,0.0860,9.52
1777982011.1157663,84,0.9989,0,-16.7549,-0.0346,-16.9813,0.046873,0.1099,6.68
1777982011.320054,85,0.9987,0,-16.5549,-0.0205,-16.9040,0.071555,0.0648,-6.29
1777982011.5720317,86,0.9986,0,-16.4549,-0.0133,-16.8160,0.104122,0.0698,-25.14
1777982011.826205,87,0.9987,0,-16.3549,-0.0065,-16.7201,0.120067,0.0686,-32.28
1777982012.083462,88,0.9988,0,-16.4549,-0.0121,-16.6715,0.125194,0.0718,-33.77
