time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779806452.2327006,1,0.9999,0,18.1590,18.1570,18.1590,0.034034,0.2291,12.16,1.000000,1.000000,0,0
1779806452.4227939,2,0.9999,0,18.2244,9.1122,22.7483,0.034172,0.1734,14.05,0.500000,0.500000,0,0
1779806452.6839886,3,0.9999,0,18.2007,6.0673,25.2778,0.042370,0.1887,14.31,0.333333,0.333333,0,0
1779806452.9276948,4,0.9999,0,18.1641,4.5416,26.9059,0.036217,0.1777,13.06,0.250000,0.250000,0,0
1779806453.190468,5,0.9999,0,18.2199,3.6445,28.0847,0.028890,0.1958,14.17,0.200000,0.200000,0,0
1779806453.411877,6,0.9999,0,18.2216,3.0375,28.9723,0.027795,0.1679,13.83,0.166667,0.166667,0,0
1779806453.6749115,7,0.9998,0,18.1654,2.5956,29.4358,0.021275,0.1745,12.39,0.142857,0.159104,0,0
1779806453.9406605,8,0.9998,0,18.1662,2.2713,29.5531,0.016819,0.1947,12.78,0.125000,0.159104,0,0
1779806454.1820624,9,0.9998,0,18.1407,2.0161,29.4331,0.015541,0.1765,12.89,0.111111,0.159104,0,0
1779806454.4388745,10,0.9998,0,18.0948,1.8100,29.1516,0.010376,0.1825,11.53,0.100000,0.159104,0,0
1779806454.690919,11,0.9998,0,18.0877,1.6448,28.7748,0.000919,0.1914,11.07,0.090909,0.159104,0,0
1779806454.921748,12,0.9998,0,18.0934,1.5083,28.3440,0.000260,0.1740,10.86,0.083333,0.159104,0,0
1779806455.1823764,13,0.9998,0,18.0954,1.3924,27.8847,0.000301,0.1788,10.38,0.076923,0.159104,0,0
1779806455.4379435,14,0.9998,0,18.1015,1.2934,27.4161,0.000363,0.1823,10.36,0.071429,0.159104,0,0
1779806455.682188,15,0.9998,0,18.1102,1.2078,26.9514,0.000562,0.1762,10.36,0.066667,0.159104,0,0
1779806455.9686642,16,0.9998,0,18.1288,1.1335,26.5011,0.001603,0.2126,10.34,0.062500,0.159104,0,0
1779806456.1744628,17,0.9998,0,18.1752,1.0695,26.0761,0.002988,0.1741,10.40,0.058824,0.159104,0,0
1779806456.4439316,18,0.9998,0,18.2303,1.0132,25.6800,0.005322,0.1944,10.41,0.055556,0.159104,0,0
1779806456.6854243,19,0.9999,0,18.2780,0.9624,25.3117,0.007734,0.1834,10.34,0.052632,0.159104,0,0
1779806456.940369,20,0.9999,0,18.3062,0.9157,24.9673,0.013733,0.1901,10.83,0.050000,0.159104,0,0
1779806457.1883698,21,0.9999,0,18.3487,0.8741,24.6494,0.024125,0.1880,11.61,0.047619,0.159104,0,0
1779806457.4289575,22,0.9999,0,18.3913,0.8363,24.3571,0.034195,0.1795,11.92,0.045455,0.159104,0,0
1779806457.7396886,23,0.9999,0,18.4277,0.8015,24.0878,0.044071,0.2354,11.64,0.043478,0.159104,0,0
1779806457.9621613,24,0.9999,0,18.4460,0.7689,23.8368,0.054824,0.2168,11.00,0.041667,0.159104,0,0
1779806458.1913884,25,0.9999,0,18.4380,0.7378,23.5984,0.070982,0.1915,10.45,0.040000,0.159104,0,0
1779806458.4469638,26,0.9999,0,18.4223,0.7088,23.3710,0.088498,0.1949,9.98,0.038462,0.159104,0,0
1779806458.7095916,27,0.9999,0,18.4052,0.6820,23.1545,0.103756,0.2122,9.45,0.037037,0.159104,0,0
1779806458.9734242,28,0.9999,0,18.4135,0.6579,22.9535,0.114026,0.2228,8.44,0.035714,0.159104,0,0
