time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779984046.8135197,1,0.9994,0,26.9209,0.0000,26.9209,0.301786,0.1892,-22.44,1.000000,1.000000,0,0
1779984047.070063,2,0.9994,0,26.9201,-0.0004,26.9203,0.301193,0.1866,-22.44,0.500000,0.500000,0,0
1779984047.3553045,3,0.9994,0,26.9194,-0.0005,26.9197,0.300534,0.1964,-22.44,0.333333,0.333333,0,0
1779984047.643478,4,0.9994,0,26.9185,-0.0006,26.9189,0.299787,0.2175,-22.44,0.250000,0.250000,0,0
1779984047.8891768,5,0.9994,0,26.9177,-0.0006,26.9182,0.298962,0.1868,-22.44,0.200000,0.200000,0,0
1779984048.1755776,6,0.9994,0,26.9145,-0.0011,26.9167,0.297113,0.2014,-22.43,0.166667,0.166667,0,0
1779984048.4102042,7,0.9994,0,26.9044,-0.0024,26.9127,0.288305,0.1810,-21.86,0.142857,0.159104,0,0
1779984048.7052062,8,0.9993,0,26.9441,0.0029,26.9202,0.284585,0.1759,-21.08,0.125000,0.159104,0,0
1779984049.038126,9,0.9988,0,26.8834,-0.0042,26.9108,0.294326,0.2591,-19.44,0.111111,0.159104,0,0
1779984049.5509095,10,0.9971,0,26.8721,-0.0049,26.9006,0.319281,0.2299,-15.30,0.100000,0.159104,0,0
1779984049.8154068,11,0.9964,0,26.6731,-0.0225,26.8456,0.375659,0.2422,-14.57,0.090909,0.159104,0,0
1779984049.9884505,12,0.9962,0,26.5693,-0.0292,26.7772,0.384613,0.1524,-13.43,0.083333,0.159104,0,0
1779984050.3370304,13,0.9962,0,26.6092,-0.0239,26.7305,0.393911,0.2282,-12.70,0.076923,0.159104,0,0
1779984050.6065905,14,0.9963,0,26.5753,-0.0246,26.6852,0.388237,0.1876,-11.98,0.071429,0.159104,0,0
1779984050.8755352,15,0.9964,0,26.5893,-0.0221,26.6514,0.378682,0.2306,-10.47,0.066667,0.159104,0,0
1779984051.1035302,16,0.9970,0,26.6372,-0.0177,26.6342,0.362429,0.1904,-11.25,0.062500,0.159104,0,0
1779984051.4273148,17,0.9977,0,26.4707,-0.0264,26.5860,0.343078,0.2474,-13.29,0.058824,0.159104,0,0
1779984051.6624084,18,0.9985,0,26.4101,-0.0283,26.5343,0.333258,0.2064,-14.79,0.055556,0.159104,0,0
1779984051.9572356,19,0.9990,0,26.4407,-0.0252,26.4982,0.271087,0.2417,-16.20,0.052632,0.159104,0,0
1779984052.2455163,20,0.9993,0,26.3774,-0.0271,26.4562,0.251526,0.2542,-17.88,0.050000,0.159104,0,0
1779984052.4829686,21,0.9993,0,26.2445,-0.0322,26.3955,0.219842,0.2178,-17.83,0.047619,0.159104,0,0
1779984052.7316082,22,0.9993,0,26.3011,-0.0281,26.3568,0.230149,0.2051,-16.93,0.045455,0.159104,0,0
1779984053.0482411,23,0.9993,0,26.2417,-0.0295,26.3137,0.217473,0.2418,-17.91,0.043478,0.159104,0,0
1779984053.2625,24,0.9993,0,26.1589,-0.0317,26.2624,0.202822,0.1899,-18.23,0.041667,0.159104,0,0
1779984053.565792,25,0.9992,0,26.0783,-0.0337,26.2048,0.197560,0.2140,-18.74,0.040000,0.159104,0,0
1779984053.828299,26,0.9991,0,26.3612,-0.0215,26.2116,0.246614,0.2196,-17.46,0.038462,0.159104,0,0
1779984054.0829325,27,0.9989,0,26.6108,-0.0115,26.2654,0.287815,0.1967,-13.94,0.037037,0.159104,0,0
1779984054.3788922,28,0.9986,0,26.8199,-0.0036,26.3505,0.273207,0.2218,-11.03,0.035714,0.159104,0,0
1779984054.6753132,29,0.9983,0,26.9015,-0.0007,26.4374,0.252165,0.2591,-10.60,0.034483,0.159104,0,0
1779984054.9346259,30,0.9979,0,26.8043,-0.0039,26.4924,0.237058,0.2396,-12.35,0.033333,0.159104,0,0
1779984055.195334,31,0.9975,0,26.7589,-0.0052,26.5303,0.249270,0.2416,-13.09,0.032258,0.159104,0,0
1779984055.434182,32,0.9974,0,27.0214,0.0031,26.6109,0.291821,0.2183,-11.34,0.031250,0.159104,0,0
1779984055.735988,33,0.9975,0,27.1522,0.0070,26.7027,0.246519,0.2473,-9.32,0.030303,0.159104,0,0
1779984055.9758618,34,0.9979,0,27.0204,0.0029,26.7556,0.210919,0.2182,-9.22,0.029412,0.159104,0,0
1779984056.2520404,35,0.9983,0,26.8851,-0.0010,26.7753,0.169042,0.2215,-11.33,0.028571,0.159104,0,0
1779984056.5267515,36,0.9986,0,26.7943,-0.0035,26.7753,0.155090,0.2346,-12.94,0.027778,0.159104,0,0
1779984056.7510567,37,0.9990,0,26.7547,-0.0045,26.7683,0.150957,0.1992,-13.13,0.027027,0.159104,0,0
1779984057.1064763,38,0.9993,0,26.7977,-0.0032,26.7702,0.143462,0.2850,-12.41,0.026316,0.159104,0,0
1779984057.5773144,39,0.9998,0,26.5871,-0.0086,26.7339,0.044146,0.2281,-12.57,0.025641,0.159104,0,0
1779984057.8389537,40,0.9998,0,26.5628,-0.0090,26.6992,0.035531,0.2261,-13.16,0.025000,0.159104,0,0
1779984058.223672,41,0.9998,0,26.5609,-0.0088,26.6698,0.036353,0.3434,-13.15,0.024390,0.159104,0,0
1779984058.6215868,42,0.9997,0,26.4935,-0.0102,26.6332,0.088861,0.1983,-11.20,0.023810,0.159104,0,0
1779984058.8794298,43,0.9993,0,26.4737,-0.0104,26.5991,0.106450,0.2005,-10.57,0.023256,0.159104,0,0
1779984059.1687906,44,0.9989,0,26.3723,-0.0125,26.5526,0.137433,0.2206,-9.36,0.022727,0.159104,0,0
1779984059.433248,45,0.9983,0,26.0961,-0.0183,26.4647,0.222213,0.2137,-7.90,0.022222,0.159104,0,0
1779984059.7411234,46,0.9979,0,25.7338,-0.0258,26.3269,0.345277,0.2555,-6.11,0.021739,0.159104,0,0
1779984060.253589,47,0.9978,0,25.6634,-0.0267,26.1991,0.389392,0.2455,-2.73,0.021277,0.159104,0,0
