time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779899461.8357847,1,0.0194,1,0.0000,0.0000,0.0000,0.469737,0.3162,18.45,29.40,-2.89,1.000000,1.000000,0,0
1779899462.278502,2,0.0193,1,0.0000,0.0000,0.0000,0.552571,0.2291,17.73,26.29,-1.95,0.500000,0.500000,0,0
1779899462.5630145,3,0.0192,1,0.0000,0.0000,0.0000,0.651880,0.2555,16.02,22.85,-0.92,0.333333,0.333333,0,0
1779899462.807421,4,0.0194,1,0.0000,0.0000,0.0000,0.694944,0.2230,13.62,20.66,-0.23,0.250000,0.250000,0,0
1779899463.0751243,5,0.0201,1,0.0000,0.0000,0.0000,0.659281,0.2413,12.41,21.15,-0.14,0.200000,0.200000,0,0
1779899463.384627,6,0.0237,1,0.0000,0.0000,0.0000,0.628468,0.2734,12.63,21.84,-0.31,0.166667,0.166667,0,0
1779899463.8864856,7,0.0540,1,0.0000,0.0000,0.0000,0.658441,0.2319,14.69,18.60,-0.19,0.142857,0.142857,0,0
1779899464.1773567,8,0.0763,1,0.0000,0.0000,0.0000,0.688958,0.2545,14.48,15.17,0.40,0.125000,0.125000,0,0
1779899464.4451802,9,0.0992,1,0.0000,0.0000,0.0000,0.668206,0.2570,13.78,12.87,0.77,0.111111,0.111111,0,0
1779899464.713847,10,0.1216,0,-0.6444,-0.0078,-0.0156,0.568780,0.2580,13.43,12.66,0.66,0.100000,0.100000,0,0
1779899464.972248,11,0.1436,0,-0.7179,-0.0087,-0.0333,0.471539,0.2358,13.84,13.31,0.38,0.090909,0.090909,0,0
1779899465.279368,12,0.1664,0,-0.7560,-0.0091,-0.0523,0.412348,0.2867,13.73,13.16,0.22,0.083333,0.083333,0,0
1779899465.7667742,13,0.2105,0,-0.8023,-0.0097,-0.0740,0.307597,0.2420,12.93,11.87,0.22,0.076923,0.076923,0,0
1779899466.0552218,14,0.2283,0,-0.8639,-0.0105,-0.0973,0.268967,0.2510,12.25,10.61,0.40,0.071429,0.071429,0,0
1779899466.6156697,15,0.2516,0,-0.9861,-0.0124,-0.1244,0.241863,0.2774,10.14,7.34,0.60,0.066667,0.066667,0,0
1779899467.1244924,16,0.2628,0,-1.0050,-0.0125,-0.1512,0.220020,0.2646,5.06,3.61,0.55,0.062500,0.062500,0,0
1779899467.6189914,17,0.2628,0,-0.9822,-0.0120,-0.1758,0.214321,0.2356,-2.14,-0.31,1.12,0.058824,0.058824,0,0
1779899467.8740067,18,0.2597,0,-0.9408,-0.0112,-0.1979,0.205661,0.2169,-7.02,-1.44,1.44,0.055556,0.055556,0,0
1779899468.1712813,19,0.2561,0,-0.8382,-0.0097,-0.2161,0.178452,0.2478,-11.87,-1.12,1.49,0.052632,0.052632,0,0
1779899468.314249,20,0.2518,0,-0.6895,-0.0077,-0.2296,0.109699,0.1346,-15.85,0.75,1.22,0.050000,0.050000,0,0
1779899468.681096,21,0.2474,0,-0.6284,-0.0069,-0.2411,0.073309,0.2273,-16.15,2.49,1.13,0.047619,0.047619,0,0
1779899468.979876,22,0.2434,0,-0.6677,-0.0072,-0.2530,0.099284,0.2500,-12.87,3.47,1.31,0.045455,0.045455,0,0
1779899469.5751739,23,0.2366,0,-0.9237,-0.0098,-0.2696,0.247548,0.3137,-4.32,1.49,1.97,0.043478,0.043478,0,0
1779899470.0481548,24,0.2321,0,-1.3259,-0.0136,-0.2932,0.443120,0.2542,8.23,-2.97,3.10,0.041667,0.041667,0,0
1779899470.549313,25,0.2290,0,-1.7366,-0.0172,-0.3235,0.636363,0.2357,20.30,-8.04,4.40,0.040000,0.040000,0,0
1779899470.8041472,26,0.2283,0,-1.8815,-0.0183,-0.3554,0.730045,0.2297,23.95,-10.36,5.11,0.038462,0.038462,0,0
1779899471.0737004,27,0.2269,0,-1.9872,-0.0191,-0.3880,0.824645,0.2404,24.49,-12.91,5.71,0.037037,0.037037,0,0
1779899471.406487,28,0.2251,0,-2.0677,-0.0196,-0.4209,0.912905,0.3058,22.87,-15.66,5.94,0.035714,0.035714,0,0
1779899471.9005024,29,0.2258,0,-2.0680,-0.0194,-0.4530,0.919250,0.2478,16.34,-17.86,5.35,0.034483,0.034483,0,0
1779899472.0338407,30,0.2281,0,-1.9584,-0.0184,-0.4830,0.835387,0.1265,12.84,-15.39,4.69,0.033333,0.034064,0,0
1779899472.483701,31,0.2303,0,-1.7862,-0.0170,-0.5101,0.742610,0.3050,10.26,-10.45,3.68,0.032258,0.034064,0,0
1779899472.9929137,32,0.2330,0,-1.3597,-0.0138,-0.5306,0.529298,0.2939,8.68,5.85,-0.67,0.031250,0.034064,0,0
1779899473.4871726,33,0.2377,0,-0.9156,-0.0105,-0.5441,0.224882,0.2563,11.58,26.98,-5.73,0.030303,0.034064,0,0
1779899473.6323512,34,0.2388,0,-0.7115,-0.0090,-0.5544,0.085298,0.1359,14.55,36.68,-7.58,0.029412,0.034064,0,0
1779899474.0055606,35,0.2374,0,-0.5760,-0.0080,-0.5625,0.022757,0.2407,17.70,43.21,-8.84,0.028571,0.034064,0,0
1779899474.2621374,36,0.2340,0,-0.5269,-0.0076,-0.5698,0.011640,0.2416,21.28,47.14,-10.18,0.027778,0.034064,0,0
1779899474.5465415,37,0.2305,0,-0.5396,-0.0077,-0.5772,0.012329,0.2618,23.92,48.94,-11.25,0.027027,0.034064,0,0
