time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_parent,movement_var_child,is_flat_valley,r_w,best_yaw_deg
1779290353.9750984,1,-180.0000,0.079826,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290353.979166,1,-175.0000,0.076456,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290353.9831367,1,-170.0000,0.073398,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290353.9866922,1,-165.0000,0.070651,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290353.9957159,1,-160.0000,0.068207,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290353.997295,1,-155.0000,0.066057,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0017703,1,-150.0000,0.064187,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0067606,1,-145.0000,0.062579,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0122364,1,-140.0000,0.061217,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0146494,1,-135.0000,0.060080,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0179744,1,-130.0000,0.059150,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0216591,1,-125.0000,0.058408,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0251598,1,-120.0000,0.057837,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.031872,1,-115.0000,0.057421,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0356953,1,-110.0000,0.057148,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0390804,1,-105.0000,0.057008,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0425782,1,-100.0000,0.056995,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.046318,1,-95.0000,0.057105,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0518048,1,-90.0000,0.057339,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0533378,1,-85.0000,0.057700,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0574234,1,-80.0000,0.058198,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0615885,1,-75.0000,0.058842,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0670595,1,-70.0000,0.059645,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.072349,1,-65.0000,0.060625,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0750508,1,-60.0000,0.061798,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.0811028,1,-55.0000,0.063184,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779290354.086349,1,-50.0000,0.064800,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
