time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777887501.9775455,1,0.0615,1,0.0000,0.0000,0.0000,0.000000,0.0000,32.57,-3.36,6.09
1777887502.2344701,2,0.0615,1,0.0000,0.0000,0.0000,0.000000,0.0000,32.57,-3.36,6.09
1777887502.476016,3,0.0615,1,0.0000,0.0000,0.0000,0.000000,0.0000,32.57,-3.36,6.09
1777887502.7359617,4,0.0615,1,0.0000,0.0000,0.0000,0.000000,0.0000,32.57,-3.36,6.08
1777887502.97738,5,0.0615,1,0.0000,0.0000,0.0000,0.000000,0.0000,32.57,-3.36,6.08
1777887503.2293227,6,0.0615,1,0.0000,0.0000,0.0000,0.000000,0.0000,32.57,-3.36,6.08
1777887503.5567343,7,0.0616,1,-0.0429,0.0000,0.0000,0.000036,0.0308,32.33,-3.38,6.07
1777887503.7837286,8,0.0618,1,-0.0429,0.0000,0.0000,0.000009,0.0316,29.78,-1.39,4.93
1777887504.0424924,9,0.0614,1,-0.0429,0.0000,0.0000,0.000078,0.0327,29.29,5.47,0.49
1777887504.2861085,10,0.0608,1,-0.0429,0.0000,0.0000,0.000243,0.0304,31.44,16.80,-8.29
1777887504.556413,11,0.0599,1,-0.0429,0.0000,0.0000,0.000261,0.0312,34.73,29.66,-18.71
1777887504.7862067,12,0.0588,1,-0.0429,0.0000,0.0000,0.000122,0.0318,39.00,41.07,-26.96
1777887505.0364656,13,0.0583,1,-0.0429,0.0000,0.0000,0.000012,0.0309,38.94,47.68,-29.90
1777887505.3023865,14,0.0581,1,-0.0429,0.0000,0.0000,0.000006,0.0348,35.03,49.53,-27.34
1777887505.544496,15,0.0582,1,-0.0429,0.0000,0.0000,0.000006,0.0343,29.48,49.88,-22.55
1777887505.7982414,16,0.0582,1,-0.0429,0.0000,0.0000,0.000003,0.0324,26.65,49.32,-19.78
1777887506.033726,17,0.0581,1,-0.0429,0.0000,0.0000,0.000001,0.0293,26.36,48.70,-19.27
1777887506.3000128,18,0.0580,1,-0.0429,0.0000,0.0000,0.000005,0.0403,22.56,49.77,-16.41
1777887506.5522172,19,0.0577,1,-0.0429,0.0000,0.0000,0.000013,0.0454,14.08,50.98,-9.85
1777887506.80342,20,0.0574,1,-0.0429,0.0000,0.0000,0.000012,0.0430,3.47,52.20,-1.67
1777887507.035409,21,0.0574,1,-0.0429,0.0000,0.0000,0.000003,0.0314,-3.63,53.40,3.72
1777887507.2842379,22,0.0575,1,-0.0429,0.0000,0.0000,0.000006,0.0327,-1.90,53.04,2.39
1777887507.5532255,23,0.0577,1,-0.0429,0.0000,0.0000,0.000004,0.0475,6.25,53.01,-4.24
1777887507.8052065,24,0.0578,1,-0.0429,0.0000,0.0000,0.000011,0.0424,18.09,54.17,-14.36
1777887508.0858455,25,0.0577,1,-0.0429,0.0000,0.0000,0.000029,0.0470,28.60,55.98,-24.07
1777887508.3060515,26,0.0576,1,-0.0429,0.0000,0.0000,0.000041,0.0308,36.72,58.72,-32.52
1777887508.5525317,27,0.0573,1,-0.0429,0.0000,0.0000,0.000030,0.0306,45.10,61.43,-41.45
1777887508.7747521,28,0.0570,1,-0.0429,0.0000,0.0000,0.000017,0.0335,49.43,64.28,-46.58
1777887509.0620692,29,0.0566,1,-0.0429,0.0000,0.0000,0.000007,0.0354,49.48,67.51,-47.50
1777887509.3468537,30,0.0563,1,-0.0429,0.0000,0.0000,0.000004,0.0523,47.54,70.39,-46.23
1777887509.5591981,31,0.0560,1,-0.0429,0.0000,0.0000,0.000002,0.0318,42.13,73.12,-41.38
1777887509.808574,32,0.0558,1,-0.0429,0.0000,0.0000,0.000000,0.0453,27.23,74.85,-27.07
1777887510.0732908,33,0.0557,1,-0.0429,0.0000,0.0000,0.000000,0.0501,12.88,75.37,-13.16
1777887510.3234947,34,0.0557,1,-0.0429,0.0000,0.0000,0.000002,0.0441,2.30,75.32,-2.78
1777887510.5995638,35,0.0559,1,-0.0429,0.0000,0.0000,0.000016,0.0516,-0.30,73.61,0.12
1777887510.8070846,36,0.0563,1,-0.0429,0.0000,0.0000,0.000037,0.0412,10.73,70.15,-9.79
1777887511.0510993,37,0.0568,1,-0.0429,0.0000,0.0000,0.000043,0.0300,23.90,65.80,-21.42
1777887511.3241081,38,0.0573,1,-0.0429,0.0000,0.0000,0.000027,0.0510,33.17,61.03,-29.11
1777887511.525752,39,0.0576,1,-0.0429,0.0000,0.0000,0.000020,0.0451,34.90,57.13,-29.67
1777887511.809998,40,0.0577,1,-0.0429,0.0000,0.0000,0.000020,0.0337,28.26,54.27,-23.20
1777887512.0678234,41,0.0578,1,-0.0429,0.0000,0.0000,0.000013,0.0446,15.85,51.51,-12.53
1777887512.305565,42,0.0579,1,-0.0429,0.0000,0.0000,0.000004,0.0297,2.50,49.48,-1.46
1777887512.5511143,43,0.0580,1,-0.0429,0.0000,0.0000,0.000003,0.0299,-6.02,48.88,5.53
1777887512.8158026,44,0.0581,1,-0.0429,0.0000,0.0000,0.000003,0.0445,-3.21,49.51,3.12
1777887513.0730495,45,0.0580,1,-0.0429,0.0000,0.0000,0.000006,0.0396,8.99,51.37,-7.04
1777887513.3118453,46,0.0578,1,-0.0429,0.0000,0.0000,0.000015,0.0345,24.94,53.31,-20.65
1777887513.5482147,47,0.0575,1,-0.0429,0.0000,0.0000,0.000021,0.0379,38.84,54.78,-33.19
1777887513.7931802,48,0.0572,1,-0.0429,0.0000,0.0000,0.000015,0.0307,46.91,56.04,-41.21
1777887514.0489337,49,0.0572,1,-0.0429,0.0000,0.0000,0.000005,0.0320,49.48,57.17,-44.18
1777887514.3174477,50,0.0571,1,-0.0429,0.0000,0.0000,0.000002,0.0327,47.60,58.30,-42.73
1777887514.5681667,51,0.0571,1,-0.0429,0.0000,0.0000,0.000002,0.0831,39.60,59.74,-35.49
1777887514.8161707,52,0.0570,1,-0.0429,0.0000,0.0000,0.000001,0.0403,24.88,60.48,-22.11
1777887515.0698175,53,0.0568,1,-0.0429,0.0000,0.0000,0.000000,0.0481,7.88,60.31,-6.92
1777887515.307736,54,0.0566,1,-0.0429,0.0000,0.0000,0.000000,0.0347,-10.06,58.94,8.70
1777887515.5878606,55,0.0564,1,-0.0429,0.0000,0.0000,0.000000,0.0524,-23.53,56.45,20.18
1777887515.8123307,56,0.0565,1,-0.0429,0.0000,0.0000,0.000000,0.0389,-29.97,54.09,25.37
1777887516.0477946,57,0.0566,1,-0.0429,0.0000,0.0000,0.000001,0.0326,-32.15,52.73,26.98
1777887516.3141837,58,0.0567,1,-0.0429,0.0000,0.0000,0.000001,0.0503,-29.87,52.74,25.03
1777887516.5456822,59,0.0569,1,-0.0429,0.0000,0.0000,0.000002,0.0327,-26.07,53.17,21.90
1777887516.802282,60,0.0570,1,-0.0429,0.0000,0.0000,0.000001,0.0428,-22.67,53.80,19.18
1777887517.0791132,61,0.0570,1,-0.0429,0.0000,0.0000,0.000000,0.0520,-20.24,54.23,17.23
1777887517.3130503,62,0.0571,1,-0.0429,0.0000,0.0000,0.000000,0.0468,-19.29,54.28,16.45
1777887517.55724,63,0.0571,1,-0.0429,0.0000,0.0000,0.000000,0.0466,-19.24,54.31,16.40
