time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779805363.4283774,1,0.1409,0,-28.6772,-4.0403,-7.5114,0.000935,0.1587,-135.32,12.80,-177.02,1.000000,1.000000,0,0
1779805363.6584175,2,0.1407,0,-29.3242,-3.8017,-12.5797,0.007950,0.1455,-136.74,8.14,-177.66,0.500000,0.500000,0,0
1779805363.920707,3,0.1404,0,-30.2458,-3.6668,-16.9019,0.018850,0.1471,-138.19,4.36,-178.14,0.333333,0.333333,0,0
1779805364.1677983,4,0.1402,0,-31.1222,-3.5690,-20.8443,0.024422,0.1526,-139.53,0.92,-178.56,0.250000,0.250000,0,0
1779805364.412988,5,0.1400,0,-32.0371,-3.4947,-24.5546,0.026844,0.1543,-140.83,-2.28,-178.95,0.200000,0.200000,0,0
1779805364.670777,6,0.1399,0,-32.9786,-3.4352,-28.1061,0.025496,0.1645,-142.01,-5.30,-179.32,0.166667,0.166667,0,0
1779805364.930406,7,0.1397,0,-33.9025,-3.3850,-31.5447,0.019704,0.1557,-142.91,-8.23,-95.07,0.142857,0.159104,0,0
1779805365.162641,8,0.1397,0,-34.7553,-3.3408,-34.8826,0.010053,0.1417,-143.60,-11.09,-97.22,0.125000,0.159104,0,0
1779805365.4014072,9,0.1398,0,-35.4547,-3.2998,-38.1218,0.001368,0.1441,-143.58,-13.93,179.62,0.111111,0.159104,0,0
1779805365.721757,10,0.1399,0,-35.7043,-3.2571,-41.2526,0.000162,0.2011,-142.89,-16.89,179.19,0.100000,0.159104,0,0
1779805365.9371643,11,0.1400,0,-35.6576,-3.2151,-44.2714,0.000126,0.1751,-142.14,-19.90,178.73,0.090909,0.159104,0,0
1779805366.204622,12,0.1400,0,-35.5103,-3.1758,-47.1813,0.000741,0.1834,-141.50,-22.85,178.24,0.083333,0.159104,0,0
1779805366.4307203,13,0.1401,0,-34.8180,-3.1341,-49.9700,0.008408,0.1585,-140.77,-25.97,177.67,0.076923,0.159104,0,0
1779805366.6704495,14,0.1401,0,-33.9100,-3.0937,-52.6369,0.017555,0.1512,-140.33,-29.08,177.05,0.071429,0.159104,0,0
