time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779363886.2765133,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.1809,-9.12,1.000000,1.000000
1779363886.5341372,2,0.9995,0,23.8881,11.9442,29.9580,1.281554,0.1882,-10.33,0.500000,0.500000
1779363886.7955854,3,0.9995,0,23.8548,7.9538,33.2287,1.233733,0.1841,-11.79,0.333333,0.333333
1779363887.0610175,4,0.9994,0,23.8120,5.9559,35.3437,1.192938,0.1896,-13.04,0.250000,0.250000
1779363887.3534958,5,0.9994,0,23.9943,4.8019,36.9173,1.267426,0.2118,-13.06,0.200000,0.200000
1779363887.6180584,6,0.9994,0,23.9131,3.9885,38.0754,1.349100,0.2034,-12.12,0.166667,0.166667
1779363887.8831658,7,0.9994,0,23.8921,3.4161,38.6930,1.382077,0.2067,-11.62,0.142857,0.159104
1779363888.1766636,8,0.9993,0,23.9709,2.9992,38.8747,1.345847,0.2334,-12.05,0.125000,0.159104
1779363888.4414268,9,0.9992,0,24.0217,2.6719,38.7605,1.257034,0.2171,-13.04,0.111111,0.159104
1779363888.7183487,10,0.9992,0,24.2736,2.4301,38.5013,1.192497,0.2397,-12.55,0.100000,0.159104
1779363888.980196,11,0.9992,0,24.4369,2.2242,38.1358,1.216597,0.2257,-10.70,0.090909,0.159104
1779363889.216553,12,0.9993,0,24.4558,2.0405,37.6769,1.280216,0.1934,-8.59,0.083333,0.159104
1779363889.4931355,13,0.9992,0,24.2674,1.8692,37.1171,1.314689,0.1986,-6.33,0.076923,0.159104
1779363889.739233,14,0.9989,0,24.2794,1.7367,36.5376,1.352576,0.1838,-4.67,0.071429,0.159104
1779363890.013474,15,0.9986,0,24.3440,1.6254,35.9675,1.393423,0.1969,-2.70,0.066667,0.159104
1779363890.2636461,16,0.9984,0,24.4368,1.5297,35.4225,1.432768,0.1792,-1.29,0.062500,0.159104
1779363890.5270069,17,0.9986,0,24.5042,1.4438,34.9023,1.451719,0.1775,-0.51,0.058824,0.159104
1779363890.8448634,18,0.9986,0,24.5997,1.3690,34.4170,1.451400,0.2202,0.61,0.055556,0.159104
1779363891.0674803,19,0.9985,0,24.5111,1.2924,33.9305,1.445813,0.1860,0.15,0.052632,0.159104
1779363891.3296049,20,0.9984,0,24.3857,1.2217,33.4419,1.463701,0.1813,-0.59,0.050000,0.159104
1779363891.6197486,21,0.9986,0,24.0631,1.1482,32.9176,1.665962,0.2079,0.42,0.047619,0.159104
1779363891.851926,22,0.9990,0,23.7760,1.0831,32.3755,1.838610,0.1727,3.06,0.045455,0.159104
1779363892.149377,23,0.9994,0,23.3668,1.0182,31.7993,1.999137,0.2017,5.92,0.043478,0.159104
1779363892.4094718,24,0.9997,0,22.7953,0.9520,31.1678,2.126922,0.2095,10.13,0.041667,0.159104
1779363892.640397,25,0.9997,0,22.2699,0.8929,30.5035,2.262471,0.1617,15.20,0.040000,0.159104
1779363892.9184735,26,0.9998,0,21.7390,0.8382,29.8142,2.305908,0.1695,18.99,0.038462,0.159104
1779363893.181397,27,0.9999,0,21.5334,0.7995,29.1692,2.427979,0.1805,24.30,0.037037,0.159104
1779363893.4637215,28,1.0000,0,21.6199,0.7741,28.6190,2.659709,0.1912,30.87,0.035714,0.159104
1779363893.7099073,29,1.0000,0,22.0064,0.7607,28.2066,2.736984,0.1701,32.49,0.034483,0.159104
1779363893.9791927,30,1.0000,0,22.4723,0.7509,27.9257,2.690459,0.1627,29.65,0.033333,0.159104
1779363894.2575696,31,0.9999,0,22.9704,0.7427,27.7619,2.544475,0.1864,25.47,0.032258,0.159104
1779363894.5090604,32,0.9999,0,23.4966,0.7359,27.7022,2.265058,0.1769,18.70,0.031250,0.159104
1779363894.7961502,33,0.9999,0,24.0312,0.7298,27.7319,1.885605,0.1823,11.35,0.030303,0.159104
1779363895.0406973,34,0.9998,0,24.5386,0.7233,27.8322,1.481309,0.1603,4.89,0.029412,0.159104
1779363895.3480806,35,0.9997,0,24.8358,0.7111,27.9536,1.128111,0.1999,-1.64,0.028571,0.159104
1779363895.6073003,36,0.9996,0,24.9885,0.6956,28.0670,0.836757,0.1950,-8.33,0.027778,0.159104
1779363895.8769455,37,0.9994,0,24.9998,0.6771,28.1488,0.693969,0.2085,-12.31,0.027027,0.159104
1779363896.1803386,38,0.9992,0,24.8997,0.6567,28.1846,0.739728,0.2361,-12.15,0.026316,0.159104
1779363896.3884745,39,0.9991,0,24.7227,0.6353,28.1686,0.988185,0.1898,-8.76,0.025641,0.159104
1779363896.6669202,40,0.9991,0,24.3794,0.6109,28.0801,1.436133,0.1986,-2.43,0.025000,0.159104
1779363896.93487,41,0.9986,0,23.8836,0.5839,27.9045,2.032151,0.2045,5.86,0.024390,0.159104
1779363897.1889932,42,0.9973,0,23.6118,0.5636,27.6976,2.435492,0.2017,15.92,0.023810,0.159104
1779363897.4594152,43,0.9953,0,23.2378,0.5419,27.4474,2.865148,0.2050,24.83,0.023256,0.159104
1779363897.7219634,44,0.9930,0,22.9675,0.5236,27.1805,3.172965,0.1994,31.55,0.022727,0.159104
1779363897.9964974,45,0.9909,0,22.6906,0.5060,26.8988,3.478696,0.2094,38.49,0.022222,0.159104
1779363898.251191,46,0.9894,0,22.4782,0.4905,26.6163,3.738234,0.2002,44.96,0.021739,0.159104
1779363898.5171568,47,0.9883,0,22.3841,0.4782,26.3538,3.871581,0.1951,50.04,0.021277,0.159104
1779363898.7672915,48,0.9873,0,22.5800,0.4724,26.1592,3.914519,0.1864,54.19,0.020833,0.159104
1779363899.0299318,49,0.9867,0,22.9484,0.4703,26.0517,3.806179,0.1812,56.38,0.020408,0.159104
1779363899.3339849,50,0.9870,0,22.9905,0.4619,25.9603,3.716223,0.2222,55.49,0.020000,0.159104
1779363899.5795574,51,0.9882,0,23.1176,0.4554,25.8971,3.534130,0.1965,52.50,0.019608,0.159104
1779363899.851509,52,0.9901,0,23.1469,0.4473,25.8407,3.356317,0.1940,49.82,0.019231,0.159104
1779363900.121113,53,0.9923,0,23.2213,0.4403,25.7979,3.141600,0.2058,46.25,0.018868,0.159104
1779363900.3619602,54,0.9941,0,23.5977,0.4391,25.8196,2.938682,0.1837,41.21,0.018519,0.159104
1779363900.65563,55,0.9951,0,23.6477,0.4321,25.8394,2.654570,0.2099,34.30,0.018182,0.159104
1779363900.9602764,56,0.9959,0,23.6881,0.4251,25.8562,2.392540,0.2529,26.30,0.017857,0.159104
