time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_parent,movement_var_child,is_flat_valley,r_w,best_yaw_deg
1779367876.0835745,1,-180.0000,0.309887,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.0853946,1,-175.0000,0.274554,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.087205,1,-170.0000,0.242070,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.0890882,1,-165.0000,0.212531,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.0911126,1,-160.0000,0.185972,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.0930448,1,-155.0000,0.162369,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.0958388,1,-150.0000,0.141653,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.097059,1,-145.0000,0.123711,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.0978997,1,-140.0000,0.108397,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.1000462,1,-135.0000,0.095546,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.1036599,1,-130.0000,0.084978,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.104803,1,-125.0000,0.076509,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.106945,1,-120.0000,0.069965,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.1089272,1,-115.0000,0.065185,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.1098187,1,-110.0000,0.062030,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.1106215,1,-105.0000,0.060393,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.113772,1,-100.0000,0.060198,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.115733,1,-95.0000,0.061408,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.117593,1,-90.0000,0.064024,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.1197245,1,-85.0000,0.068086,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.1216402,1,-80.0000,0.073669,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779367876.1249154,1,-75.0000,0.080881,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
