time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_up,movement_var_low,is_flat_valley,r_w,best_yaw_deg
1777990334.629021,1,0.0000,0.000000,1,1.305965E-09,1.237029E-09,1,0.9999,0.0000
1777990334.6388698,2,0.0000,0.000000,1,1.445070E-09,1.339588E-09,1,0.9999,0.0000
1777990334.6510158,3,0.0000,0.000000,1,1.712529E-09,1.304319E-09,1,0.9999,0.0000
1777990334.6593926,4,0.0000,0.000000,1,1.608607E-09,1.316925E-09,1,0.9999,0.0000
1777990334.8830523,5,0.0000,0.000000,1,1.538452E-09,1.464220E-09,1,0.9999,0.0000
1777990335.1549459,6,0.0000,0.000000,1,1.931149E-09,1.580972E-09,1,0.9999,0.0000
1777990335.4155755,7,0.0000,0.000000,1,1.637769E-09,1.558330E-09,1,0.9999,0.0000
1777990335.688393,8,0.0000,0.000000,1,1.630227E-09,1.605739E-09,1,0.9999,0.0000
1777990335.9471629,9,0.0000,0.000000,1,1.780615E-09,1.556900E-09,1,0.9999,0.0000
1777990336.2205522,10,0.0000,0.000000,1,1.203100E-09,1.742913E-09,1,0.9999,0.0000
1777990336.483325,11,0.0000,0.000000,1,1.425551E-09,1.690532E-09,1,0.9999,0.0000
1777990336.7449274,12,0.0000,0.000000,1,1.310637E-09,1.521255E-09,1,0.9999,0.0000
1777990337.0153856,13,0.0000,0.000000,1,1.194317E-09,1.413960E-09,1,0.9999,0.0000
1777990337.2757087,14,0.0000,0.000000,1,1.220901E-09,1.017471E-09,1,0.9999,0.0000
1777990337.5516582,15,0.0000,0.000000,1,1.175012E-09,1.010489E-09,1,0.9999,0.0000
1777990337.8137362,16,0.0000,0.000000,1,1.472040E-09,1.109500E-09,1,0.9999,0.0000
1777990338.0926006,17,0.0000,0.000000,1,1.538486E-09,1.091315E-09,1,0.9999,0.0000
1777990338.3509471,18,0.0000,0.000000,1,1.496413E-09,1.368163E-09,1,0.9999,0.0000
1777990338.6163943,19,0.0000,0.000000,1,1.381519E-09,1.238289E-09,1,0.9999,0.0000
1777990338.8747973,20,0.0000,0.000000,1,1.333056E-09,1.239587E-09,1,0.9999,0.0000
1777990339.146497,21,0.0000,0.000000,1,1.214130E-09,1.356856E-09,1,0.9999,0.0000
1777990339.4134412,22,0.0000,0.000000,1,1.201806E-09,1.332167E-09,1,0.9999,0.0000
1777990339.6728861,23,0.0000,0.000000,1,1.258501E-09,1.557923E-09,1,0.9999,0.0000
1777990339.953845,24,0.0000,0.000000,1,1.292808E-09,1.823117E-09,1,0.9999,0.0000
1777990340.2163422,25,0.0000,0.000000,1,1.316010E-09,1.787283E-09,1,0.9999,0.0000
1777990340.478118,26,0.0000,0.000000,1,2.448651E-09,1.997858E-09,1,0.9999,0.0000
1777990340.7405844,27,0.0000,0.000000,1,2.535574E-09,2.081952E-09,1,0.9999,0.0000
1777990341.0160983,28,-180.0000,265.702335,1,9.063785E-06,1.492886E-05,0,0.9999,0.0
1777990341.0178204,28,-169.7143,189.571549,1,9.063785E-06,1.492886E-05,0,0.9999,0.0
