time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779804502.7470753,1,0.9997,0,39.5506,39.5399,39.5506,0.864077,0.2618,-18.73,1.000000,1.000000,0,0
1779804503.2195914,2,0.9998,0,39.0264,19.5124,49.0470,0.931463,0.2284,-18.73,0.500000,0.500000,0,0
1779804503.301984,3,0.9998,0,39.0589,13.0205,54.3996,0.946598,0.0757,-18.73,0.333333,0.333333,0,0
1779804503.708634,4,0.9998,0,39.2854,9.8226,57.9892,1.065496,0.2228,-18.74,0.250000,0.250000,0,0
1779804503.910933,5,0.9998,0,39.4417,7.8897,60.5923,1.128763,0.1879,-18.74,0.200000,0.200000,0,0
1779804504.1849172,6,0.9998,0,39.5293,6.5895,62.5738,1.137533,0.1996,-18.74,0.166667,0.166667,0,0
1779804504.4475815,7,0.9998,0,39.0911,5.5857,63.5355,1.472047,0.2143,-18.67,0.142857,0.159104,0,0
1779804504.7091057,8,0.9998,0,37.8332,4.7305,63.4251,3.950455,0.2251,-18.49,0.125000,0.159104,0,0
1779804504.9493556,9,0.9998,0,37.0768,4.1210,62.6994,4.644521,0.2264,-18.42,0.111111,0.159104,0,0
1779804505.1967888,10,0.9998,0,36.9573,3.6970,61.7136,4.669024,0.2133,-18.43,0.100000,0.159104,0,0
1779804505.4588764,11,0.9998,0,36.9587,3.3611,60.6022,4.673480,0.2262,-18.51,0.090909,0.159104,0,0
1779804505.673746,12,0.9998,0,36.7914,3.0671,59.3937,4.487367,0.1889,-18.47,0.083333,0.159104,0,0
1779804505.9241633,13,0.9998,0,36.6762,2.8224,58.1533,4.356200,0.2012,-18.33,0.076923,0.159104,0,0
1779804506.159271,14,0.9998,0,36.7070,2.6230,56.9474,4.354104,0.1870,-18.18,0.071429,0.159104,0,0
1779804506.4495957,15,0.9998,0,37.3761,2.4928,55.9303,4.376399,0.2266,-18.09,0.066667,0.159104,0,0
1779804506.5646925,16,0.9998,0,39.0697,2.4428,55.3024,1.981293,0.0908,-17.99,0.062500,0.159104,0,0
1779804506.94791,17,0.9998,0,40.2387,2.3679,54.8973,0.762325,0.2177,-17.67,0.058824,0.159104,0,0
1779804507.187247,18,0.9998,0,40.4885,2.2503,54.4975,0.597178,0.2028,-17.25,0.055556,0.159104,0,0
1779804507.4546034,19,0.9998,0,40.4762,2.1312,54.0593,0.571867,0.2242,-16.76,0.052632,0.159104,0,0
1779804507.6887486,20,0.9998,0,40.4441,2.0231,53.5949,0.545796,0.2038,-16.40,0.050000,0.159104,0,0
1779804507.9104176,21,0.9997,0,40.4546,1.9273,53.1255,0.526985,0.1751,-16.15,0.047619,0.159104,0,0
1779804508.1699052,22,0.9997,0,40.4733,1.8405,52.6609,0.515617,0.1849,-15.93,0.045455,0.159104,0,0
1779804508.4379864,23,0.9997,0,40.4751,1.7606,52.2033,0.507517,0.2150,-15.69,0.043478,0.159104,0,0
1779804508.6660805,24,0.9997,0,40.4650,1.6869,51.7549,0.503570,0.1916,-15.59,0.041667,0.159104,0,0
1779804508.9422355,25,0.9997,0,40.4346,1.6182,51.3152,0.509039,0.2172,-16.04,0.040000,0.159104,0,0
1779804509.1746361,26,0.9996,0,40.3775,1.5538,50.8823,0.519472,0.1962,-17.09,0.038462,0.159104,0,0
1779804509.4283702,27,0.9996,0,40.3033,1.4935,50.4558,0.512888,0.1944,-17.70,0.037037,0.159104,0,0
1779804509.6838143,28,0.9996,0,40.2555,1.4385,50.0432,0.478806,0.2106,-17.20,0.035714,0.159104,0,0
1779804509.9171607,29,0.9996,0,40.2359,1.3882,49.6508,0.430139,0.1932,-15.75,0.034483,0.159104,0,0
1779804510.2412813,30,0.9996,0,40.2504,1.3424,49.2847,0.377883,0.2525,-13.69,0.033333,0.159104,0,0
1779804510.661326,31,0.9996,0,40.2793,1.3001,48.9458,0.286113,0.1763,-9.47,0.032258,0.159104,0,0
1779804510.9226465,32,0.9996,0,40.2680,1.2591,48.6245,0.267473,0.1858,-8.57,0.031250,0.159104,0,0
1779804511.156821,33,0.9996,0,40.2966,1.2219,48.3276,0.259860,0.1736,-7.82,0.030303,0.159104,0,0
1779804511.407019,34,0.9996,0,40.3405,1.1872,48.0558,0.263894,0.1862,-7.45,0.029412,0.159104,0,0
1779804511.6810913,35,0.9996,0,40.3550,1.1537,47.8014,0.293901,0.2042,-8.15,0.028571,0.159104,0,0
1779804511.9216816,36,0.9995,0,40.3355,1.1212,47.5569,0.339416,0.1847,-9.80,0.027778,0.159104,0,0
1779804512.2009857,37,0.9995,0,40.2628,1.0889,47.3127,0.388551,0.2173,-12.05,0.027027,0.159104,0,0
1779804512.4347134,38,0.9995,0,40.1745,1.0579,47.0673,0.427050,0.2039,-14.70,0.026316,0.159104,0,0
1779804512.6777425,39,0.9995,0,40.1176,1.0294,46.8278,0.441491,0.1914,-16.36,0.025641,0.159104,0,0
1779804512.9218743,40,0.9995,0,40.1577,1.0047,46.6120,0.414205,0.1986,-15.75,0.025000,0.159104,0,0
1779804513.1670287,41,0.9995,0,40.1893,0.9809,46.4156,0.365647,0.1882,-13.67,0.024390,0.159104,0,0
1779804513.4373417,42,0.9994,0,40.2351,0.9587,46.2390,0.322177,0.2003,-11.49,0.023810,0.159104,0,0
1779804513.682431,43,0.9994,0,40.2403,0.9365,46.0728,0.278592,0.1990,-9.43,0.023256,0.159104,0,0
1779804513.9316642,44,0.9994,0,40.2542,0.9156,45.9176,0.236800,0.2001,-7.53,0.022727,0.159104,0,0
1779804514.201966,45,0.9993,0,40.2819,0.8958,45.7750,0.199299,0.2213,-5.83,0.022222,0.159104,0,0
1779804514.3974464,46,0.9992,0,40.3011,0.8768,45.6421,0.179494,0.1726,-4.63,0.021739,0.159104,0,0
1779804514.7068744,47,0.9992,0,40.3138,0.8584,45.5170,0.181565,0.2227,-4.08,0.021277,0.159104,0,0
1779804514.9213588,48,0.9991,0,40.2699,0.8397,45.3891,0.202967,0.1894,-4.61,0.020833,0.159104,0,0
1779804515.174083,49,0.9991,0,40.2097,0.8213,45.2565,0.227864,0.1901,-5.69,0.020408,0.159104,0,0
1779804515.420562,50,0.9991,0,40.1440,0.8036,45.1196,0.248336,0.1886,-6.71,0.020000,0.159104,0,0
1779804515.7085629,51,0.9991,0,40.1021,0.7870,44.9839,0.262229,0.2241,-7.31,0.019608,0.159104,0,0
