time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_parent,movement_var_child,is_flat_valley,r_w,best_yaw_deg
1779708074.6720898,1,-180.0000,2.777288,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.674895,1,-175.0000,2.475415,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.6781735,1,-170.0000,2.191622,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.6810207,1,-165.0000,1.926004,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.6842146,1,-160.0000,1.678597,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.687331,1,-155.0000,1.449378,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.6882844,1,-150.0000,1.238276,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.6891553,1,-145.0000,1.045178,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.6899827,1,-140.0000,0.869941,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.6909919,1,-135.0000,0.712396,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.6951745,1,-130.0000,0.572365,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.697475,1,-125.0000,0.449665,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.6992738,1,-120.0000,0.344121,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.700974,1,-115.0000,0.255571,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.702697,1,-110.0000,0.183877,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.705197,1,-105.0000,0.128932,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.7069585,1,-100.0000,0.090660,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.7098029,1,-95.0000,0.069024,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.7114484,1,-90.0000,0.064024,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
1779708074.7139378,1,-85.0000,0.068086,0,7.761223E-07,3.802007E-03,0,0.0194,-90.9986
