time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778265351.882267,1,0.0197,1,-0.1052,0.0000,0.0000,0.182348,0.0044,25.75,32.08,-12.57,1.000000,1.000000
1778265351.8972719,2,0.0197,1,-0.1181,0.0000,0.0000,0.245608,0.0042,24.21,27.84,-10.17,0.500000,0.500000
1778265351.9120443,3,0.0195,1,-0.1278,0.0000,0.0000,0.300753,0.0042,20.38,23.78,-6.81,0.333333,0.333333
1778265351.9268274,4,0.0192,1,-0.1303,0.0000,0.0000,0.317749,0.0042,16.46,22.34,-4.18,0.250000,0.250000
1778265351.9416742,5,0.0190,1,-0.1218,0.0000,0.0000,0.287387,0.0042,14.78,24.40,-4.06,0.200000,0.200000
1778265351.956505,6,0.0190,1,-0.1128,0.0000,0.0000,0.238448,0.0042,15.26,27.56,-5.40,0.166667,0.166667
1778265351.971274,7,0.0191,1,-0.1161,0.0000,0.0000,0.251817,0.0042,17.34,27.32,-6.00,0.142857,0.159104
1778265351.9859982,8,0.0192,1,-0.1254,0.0000,0.0000,0.334130,0.0042,16.89,22.65,-4.69,0.125000,0.159104
1778265352.000838,9,0.0197,1,-0.1392,0.0000,0.0000,0.407555,0.0042,13.32,16.54,-2.12,0.111111,0.159104
1778265352.0156572,10,0.0212,1,-0.1509,0.0000,0.0000,0.420819,0.0042,10.36,14.39,-0.25,0.100000,0.159104
1778265352.0304244,11,0.0276,1,-0.1750,0.0000,0.0000,0.376618,0.0042,8.84,15.92,-0.25,0.090909,0.159104
1778265352.045338,12,0.0471,1,-0.2564,0.0000,0.0000,0.294226,0.0042,11.71,19.12,-2.14,0.083333,0.159104
1778265352.0601056,13,0.0737,1,-0.4065,0.0000,0.0000,0.250187,0.0042,16.64,20.22,-3.56,0.076923,0.159104
1778265352.075619,14,0.1058,0,-0.6341,-0.0017,-0.0124,0.265835,0.0050,18.71,15.88,-3.06,0.071429,0.159104
1778265352.0904207,15,0.1376,0,-0.8930,-0.0041,-0.0356,0.286187,0.0042,18.78,9.96,-1.53,0.066667,0.159104
1778265352.105373,16,0.1654,0,-1.0372,-0.0055,-0.0674,0.267501,0.0042,15.24,6.30,0.22,0.062500,0.159104
1778265352.1202738,17,0.1892,0,-1.0357,-0.0054,-0.1018,0.216333,0.0043,11.21,6.47,0.95,0.058824,0.159104
1778265352.1351078,18,0.2103,0,-0.8983,-0.0038,-0.1321,0.144896,0.0042,9.04,10.48,0.20,0.055556,0.159104
1778265352.1508098,19,0.2299,0,-0.7250,-0.0016,-0.1554,0.069758,0.0050,8.67,15.39,-1.35,0.052632,0.159104
1778265352.1664438,20,0.2475,0,-0.6599,-0.0008,-0.1760,0.036169,0.0050,10.88,17.60,-2.48,0.050000,0.159104
1778265352.1820056,21,0.2617,0,-0.7847,-0.0024,-0.2036,0.049131,0.0050,13.51,15.02,-2.30,0.047619,0.159104
1778265352.1976657,22,0.2698,0,-1.1021,-0.0062,-0.2481,0.112373,0.0050,15.26,7.58,-0.66,0.045455,0.159104
1778265352.2132185,23,0.2716,0,-1.3868,-0.0095,-0.3064,0.160841,0.0050,12.11,-0.38,0.83,0.043478,0.159104
1778265352.228718,24,0.2689,0,-1.5250,-0.0110,-0.3691,0.173092,0.0050,4.79,-6.14,1.62,0.041667,0.159104
1778265352.244304,25,0.2640,0,-1.4722,-0.0103,-0.4252,0.155751,0.0050,-2.82,-7.47,1.70,0.040000,0.159104
1778265352.2598727,26,0.2586,0,-1.2047,-0.0075,-0.4645,0.094004,0.0050,-10.46,-4.20,1.02,0.038462,0.159104
1778265352.2754796,27,0.2537,0,-0.9131,-0.0047,-0.4871,0.038361,0.0050,-16.07,0.11,1.07,0.037037,0.159104
1778265352.2902827,28,0.2502,0,-0.7182,-0.0029,-0.4991,0.012493,0.0042,-18.64,3.60,1.75,0.035714,0.159104
1778265352.3050513,29,0.2479,0,-0.5947,-0.0018,-0.5047,0.002547,0.0042,-20.76,5.42,2.24,0.034483,0.159104
1778265352.319753,30,0.2449,0,-0.5885,-0.0018,-0.5096,0.002611,0.0042,-21.26,5.61,2.34,0.033333,0.159104
1778265352.3345954,31,0.2409,0,-0.7755,-0.0032,-0.5229,0.027195,0.0042,-16.37,4.76,2.12,0.032258,0.159104
1778265352.350221,32,0.2364,0,-1.0658,-0.0053,-0.5485,0.077104,0.0050,-7.25,3.40,2.01,0.031250,0.159104
1778265352.3658218,33,0.2314,0,-1.4137,-0.0077,-0.5878,0.137100,0.0050,2.69,1.24,2.14,0.030303,0.159104
1778265352.38153,34,0.2279,0,-1.7750,-0.0101,-0.6406,0.214233,0.0050,12.65,-1.80,2.98,0.029412,0.159104
1778265352.3971434,35,0.2270,0,-2.0219,-0.0116,-0.7017,0.280870,0.0050,20.44,-4.38,4.47,0.028571,0.159104
1778265352.4127066,36,0.2277,0,-2.1894,-0.0126,-0.7678,0.324661,0.0050,24.27,-6.82,6.07,0.027778,0.159104
1778265352.4282322,37,0.2289,0,-2.3297,-0.0134,-0.8376,0.356783,0.0050,27.25,-8.81,7.52,0.027027,0.159104
1778265352.443801,38,0.2301,0,-2.4312,-0.0140,-0.9094,0.371861,0.0050,29.18,-9.87,8.48,0.026316,0.159104
1778265352.4593349,39,0.2295,0,-2.5317,-0.0145,-0.9825,0.393434,0.0050,29.10,-11.06,9.16,0.025641,0.159104
1778265352.4749098,40,0.2261,0,-2.6430,-0.0150,-1.0567,0.437985,0.0050,26.89,-13.21,9.54,0.025000,0.159104
1778265352.490543,41,0.2212,0,-2.7380,-0.0154,-1.1308,0.488031,0.0050,21.15,-16.74,8.78,0.024390,0.159104
